time/total_timesteps,train/entropy_loss,train/learning_rate,eval/mean_ep_length,train/n_updates,train/value_loss,eval/mean_reward,train/explained_variance,train/policy_loss,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean
8704,-10.127870559692383,0.0007,112.6,67,8591.25390625,-256.766144,-2.205371856689453e-05,-770.7689208984375,,,,,
9216,-10.135563850402832,0.0007,81.0,71,9546.3486328125,-413.4572484,-2.9802322387695312e-05,-855.8634033203125,,,,,
9728,-10.08770751953125,0.0007,110.8,75,6213.05517578125,-338.2295404,-5.841255187988281e-06,-627.4244384765625,,,,,
10240,-10.174492835998535,0.0007,106.8,79,9899.2607421875,-358.3708498,-2.384185791015625e-06,-861.2737426757812,,,,,
10752,-10.223034858703613,0.0007,115.0,83,8008.240234375,-337.280448,-4.76837158203125e-06,-731.2547607421875,,,,,
11264,-10.180731773376465,0.0007,88.6,87,6932.28466796875,-413.5012342,8.940696716308594e-06,-704.0298461914062,,,,,
11776,-10.18613338470459,0.0007,179.6,91,11515.97265625,-485.1185936,-5.4836273193359375e-06,-935.248779296875,,,,,
12288,-10.168403625488281,0.0007,137.8,95,8641.1328125,-300.0337664,4.410743713378906e-06,-786.7349853515625,,,,,
12800,-10.178407669067383,0.0007,169.2,99,10861.95703125,-218.32270899999997,5.304813385009766e-06,-891.4669189453125,,,,,
12800,,,,,,,,,100,0,77.61,17197,-421.78171303000005
13312,-10.18614387512207,0.0007,199.6,103,10358.2421875,-269.723324,-5.4001808166503906e-05,-862.4161987304688,,,,,
13824,-10.150186538696289,0.0007,123.6,107,8228.400390625,-146.4180296,-3.5762786865234375e-07,-762.573486328125,,,,,
14336,-10.072013854980469,0.0007,200.0,111,6675.84033203125,-202.7344256,8.821487426757812e-06,-692.151611328125,,,,,
14848,-9.979263305664062,0.0007,200.0,115,4885.5751953125,-208.8858898,8.52346420288086e-06,-557.3541259765625,,,,,
15360,-9.991006851196289,0.0007,200.0,119,7263.3154296875,-209.6636666,-5.602836608886719e-06,-731.8616333007812,,,,,
15872,-9.825301170349121,0.0007,200.0,123,6720.818359375,-187.01351060000002,-1.537799835205078e-05,-670.2470703125,,,,,
16384,-9.823283195495605,0.0007,200.0,127,5025.9169921875,-196.75804019999998,-8.940696716308594e-06,-549.86181640625,,,,,
16896,-9.869253158569336,0.0007,200.0,131,4729.41015625,-202.46214379999998,3.516674041748047e-06,-582.05517578125,,,,,
17408,-9.889060974121094,0.0007,200.0,135,3816.316650390625,-203.68592740000003,-2.47955322265625e-05,-489.7684020996094,,,,,
17920,-10.016653060913086,0.0007,200.0,139,7091.1201171875,-197.85653860000002,-3.814697265625e-06,-721.9486083984375,,,,,
18432,-9.96701717376709,0.0007,200.0,143,3226.4697265625,-203.6195776,-5.245208740234375e-06,-424.92724609375,,,,,
18944,-10.018619537353516,0.0007,200.0,147,7757.1923828125,-259.7822608,-1.4424324035644531e-05,-762.4010009765625,,,,,
19456,-10.002233505249023,0.0007,200.0,151,7242.01708984375,-384.503135,8.344650268554688e-07,-721.5397338867188,,,,,
19968,-10.005674362182617,0.0007,200.0,155,4043.218994140625,-232.72938919999996,-7.271766662597656e-06,-515.6986083984375,,,,,
20480,-10.008461952209473,0.0007,200.0,159,6082.54736328125,-181.70528740000003,3.635883331298828e-06,-647.5457763671875,,,,,
20992,-10.029366493225098,0.0007,200.0,163,4062.804931640625,-241.77768180000004,-3.337860107421875e-06,-513.8825073242188,,,,,
21504,-10.07427978515625,0.0007,200.0,167,7209.9423828125,-244.53202119999997,2.384185791015625e-07,-716.72412109375,,,,,
22016,-10.008916854858398,0.0007,200.0,171,6054.9130859375,-274.85009820000005,-1.2516975402832031e-05,-637.638916015625,,,,,
22528,-10.004605293273926,0.0007,200.0,175,6007.19482421875,-261.4217652,5.960464477539063e-08,-670.614990234375,,,,,
23040,-9.955606460571289,0.0007,200.4,179,8045.71533203125,-259.8299644,-1.52587890625e-05,-740.5634765625,,,,,
23552,-9.920397758483887,0.0007,200.2,183,3608.05810546875,-274.4186958,-8.821487426757812e-06,-508.1297302246094,,,,,
24064,-9.926933288574219,0.0007,200.0,187,4106.14892578125,-201.682931,-9.047985076904297e-05,-517.6561279296875,,,,,
24576,-9.863677024841309,0.0007,200.0,191,5555.08447265625,-209.3764994,-4.291534423828125e-06,-631.2772216796875,,,,,
25088,-9.849702835083008,0.0007,200.0,195,3309.502197265625,-210.0767172,-3.6954879760742188e-06,-440.3656005859375,,,,,
25600,-9.801620483398438,0.0007,200.0,199,3950.93017578125,-188.81842600000002,-2.086162567138672e-05,-486.5378112792969,,,,,
25600,,,,,,,,,200,0,92.09,33813,-399.59841088999997
26112,-9.739303588867188,0.0007,200.0,203,2719.96630859375,-201.65887919999997,-2.2649765014648438e-06,-416.749755859375,,,,,
26624,-9.709766387939453,0.0007,200.0,207,4365.0,-191.04736759999997,-2.9802322387695312e-06,-557.671630859375,,,,,
27136,-9.762428283691406,0.0007,200.0,211,3171.603759765625,-211.37047520000002,-6.67572021484375e-06,-443.25152587890625,,,,,
27648,-9.656413078308105,0.0007,200.4,215,3327.162109375,-203.271929,-2.9802322387695312e-06,-450.9781188964844,,,,,
28160,-9.606383323669434,0.0007,400.0,219,2677.4453125,-218.60667819999998,1.7881393432617188e-06,-399.3709716796875,,,,,
28672,-9.576412200927734,0.0007,400.0,223,5228.9775390625,-202.3906846,-6.67572021484375e-06,-581.0142822265625,,,,,
29184,-9.470598220825195,0.0007,227.2,227,3084.8447265625,-191.5887794,-8.344650268554688e-06,-415.314453125,,,,,
29696,-9.526323318481445,0.0007,400.0,231,2547.45166015625,-193.2016792,-2.384185791015625e-07,-379.1615905761719,,,,,
