time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
,0.5,1536,,,230,0.007020099,0.0140625,-10.288356113433839,5.960464477539063e-08,0.0003,0.2,781.7218627929688,-0.03616710714995861,1580.2097412109374,,,-183.8109588,50.0
0,0.5,1536,24,9385,,,,,,,,,,,-330.4353791304348,60.391304347826086,,
0,0.5,1600,25,9635,240,0.0053614145,0.0078125,-10.28597583770752,-1.1920928955078125e-07,0.0003,0.2,884.7222290039062,-0.02846553586423397,1786.5909545898437,-336.2552753333334,60.791666666666664,,
0,0.5,1664,26,9857,250,0.006862507,0.015625,-10.284172534942627,0.0,0.0003,0.2,1017.5653686523438,-0.032807004358619454,2052.7553466796876,-339.78588995999996,61.4,,
0,0.5,1728,27,10066,260,0.0068284916,0.0125,-10.28044376373291,0.0,0.0003,0.2,694.768310546875,-0.0325387567281723,1406.0372192382813,-339.78588995999996,61.4,,
0,0.5,1792,28,10300,270,0.006281063,0.0203125,-10.287975311279297,0.0,0.0003,0.2,933.1429443359375,-0.03059784471988678,1883.8515258789062,-334.934777,60.22222222222222,,
0,0.5,1856,29,10485,280,0.0046396526,0.0046875,-10.299311065673828,-1.1920928955078125e-07,0.0003,0.2,717.4144287109375,-0.025546374917030334,1450.8542846679688,-329.0193520344827,59.06896551724138,,
0,0.5,1920,30,10702,290,0.009319089,0.021875,-10.30187349319458,0.0,0.0003,0.2,351.7474060058594,-0.04251932483166456,717.9839965820313,-331.01861213333336,59.7,,
0,0.5,1984,31,10925,300,0.006610509,0.0171875,-10.306970024108887,-1.1920928955078125e-07,0.0003,0.2,669.3193969726562,-0.027111542969942094,1354.9020385742188,-327.57631384375,59.53125,,
,0.5,2048,,,310,0.010055082,0.0203125,-10.312147521972657,0.0,0.0003,0.2,704.9771118164062,-0.04274278096854687,1426.223779296875,,,-314.85339300000004,58.0
0,0.5,2048,32,12431,,,,,,,,,,,-327.57631384375,59.53125,,
0,0.5,2112,33,12609,320,0.005932756,0.0125,-10.301556301116943,0.0,0.0003,0.2,752.5752563476562,-0.026174618862569332,1521.6644287109375,-323.8513584117647,59.23529411764706,,
0,0.5,2176,34,12832,330,0.013606968,0.0546875,-10.299045848846436,0.0,0.0003,0.2,325.9176940917969,-0.05046883188188076,665.8097045898437,-323.8513584117647,59.23529411764706,,
0,0.5,2240,35,13059,340,0.008182353,0.034375,-10.305622673034668,0.0,0.0003,0.2,701.8676147460938,-0.03131545409560203,1420.1202270507813,-322.04509810810805,59.37837837837838,,
0,0.5,2304,36,13265,350,0.008345096,0.015625,-10.305296707153321,0.0,0.0003,0.2,416.90087890625,-0.03577006198465824,848.2879699707031,-322.04509810810805,59.37837837837838,,
