time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,eval/mean_ep_length,eval/mean_reward
28426,7808,0,-212.10814502999997,51.18,61,0.01991076,442.4971008300781,-9.902921104431153,907.0157043457032,-1.0728836059570312e-06,-0.05535193607211113,600,0.0003,0.11015625,0.2,,
28651,7936,0,-213.09730395000003,51.89,62,0.01271238,766.8536987304688,-9.908604431152344,1447.3488891601562,-8.702278137207031e-06,-0.04169719396159053,610,0.0003,0.059375,0.2,,
28881,8064,0,-211.50721879,51.89,63,0.018133309,759.4771118164062,-9.910916614532471,1486.3670288085937,-7.987022399902344e-06,-0.053455344121903184,620,0.0003,0.09140625,0.2,,
,8192,,,,,0.034303214,365.64324951171875,-9.938812303543092,807.5289642333985,-1.1563301086425781e-05,-0.07301056645810604,630,0.0003,0.24140625,0.2,68.0,-181.5986776
29899,8192,0,-209.28636791,51.93,64,,,,,,,,,,,,
30111,8320,0,-205.69147068,51.29,65,0.017924372,679.912353515625,-9.931688928604126,1378.591552734375,-7.033348083496094e-06,-0.05213004369288683,640,0.0003,0.1015625,0.2,,
30345,8448,0,-205.63653462000005,51.51,66,0.018673008,713.3178100585938,-9.923719692230225,1495.0141235351562,-7.867813110351562e-06,-0.05189890656620264,650,0.0003,0.10390625,0.2,,
30576,8576,0,-205.41349507000007,51.53,67,0.022729374,613.1954345703125,-9.86177134513855,1360.6551147460937,-7.3909759521484375e-06,-0.05731548350304365,660,0.0003,0.13515625,0.2,,
,8704,,,,,0.01975951,624.4542236328125,-9.872658681869506,1332.239031982422,-7.987022399902344e-06,-0.055853336304426196,670,0.0003,0.115625,0.2,102.6,-181.134986
31606,8704,0,-208.69316152000002,52.24,68,,,,,,,,,,,,
31828,8832,0,-205.02740658000002,51.8,69,0.013529168,782.5983276367188,-9.857597541809081,1497.884942626953,1.1324882507324219e-06,-0.04133710227906704,680,0.0003,0.065625,0.2,,
32046,8960,0,-195.73762402,50.19,70,0.03027478,395.0036315917969,-9.859088230133057,769.728872680664,-1.2159347534179688e-05,-0.07154345847666263,690,0.0003,0.2234375,0.2,,
32265,9088,0,-190.10886437000002,49.2,71,0.056802854,226.06333923339844,-9.897032690048217,455.42171478271484,-1.633167266845703e-05,-0.08380528353154659,700,0.0003,0.325,0.2,,
,9216,,,,,0.013152822,698.9561157226562,-9.89392375946045,1541.1439025878906,-4.410743713378906e-06,-0.04647896718233824,710,0.0003,0.06484375,0.2,134.2,-63.0224652
33301,9216,0,-187.74865252000004,48.89,72,,,,,,,,,,,,
33522,9344,0,-174.77144566999996,46.11,73,0.039960615,434.0325927734375,-9.894202661514282,937.6564331054688,-8.821487426757812e-06,-0.07951095215976238,720,0.0003,0.2703125,0.2,,
33754,9472,0,-170.60491014000002,44.95,74,0.11039121,263.8899841308594,-9.80552020072937,523.2512405395507,-1.0251998901367188e-05,-0.10328001454472542,730,0.0003,0.56875,0.2,,
33991,9600,0,-173.84461078999996,45.99,75,0.008533976,528.5601806640625,-9.875314950942993,1158.1592041015624,-2.9802322387695312e-06,-0.029629754181951285,740,0.0003,0.0328125,0.2,,
,9728,,,,,0.016526155,322.71502685546875,-9.853350353240966,646.0631408691406,-7.867813110351562e-06,-0.05147899612784386,750,0.0003,0.08203125,0.2,134.0,-49.66751140000001
35067,9728,0,-162.53973595,43.36,76,,,,,,,,,,,,
35319,9856,0,-161.60980113000002,43.13,77,0.009578254,588.05419921875,-9.928111839294434,1152.557794189453,-5.0067901611328125e-06,-0.038130701053887606,760,0.0003,0.03828125,0.2,,
35579,9984,0,-166.28273044000002,44.1,78,0.002852562,1364.8441162109375,-9.983357286453247,2717.6349975585936,-1.5497207641601562e-06,-0.015241870284080505,770,0.0003,0.0046875,0.2,,
35814,10112,0,-159.18555440999998,42.09,79,0.004266197,966.9558715820312,-10.00421199798584,2025.3639831542969,-2.1457672119140625e-06,-0.025901416875422002,780,0.0003,0.0125,0.2,,
,10240,,,,,0.009767553,701.7552490234375,-10.003618812561035,1556.9724243164062,-3.4570693969726562e-06,-0.04334013224579394,790,0.0003,0.04296875,0.2,134.0,-78.7213272
36871,10240,0,-158.65327216999998,41.75,80,,,,,,,,,,,,
37105,10368,0,-159.37745063,41.84,81,0.005204574,952.398681640625,-10.028078031539916,1746.7639099121093,-3.814697265625e-06,-0.03166293939575553,800,0.0003,0.0109375,0.2,,
37324,10496,0,-152.82171961000003,40.65,82,0.0035019442,1018.8463745117188,-10.012070417404175,1821.6855590820312,-2.9802322387695312e-06,-0.024600845668464898,810,0.0003,0.00390625,0.2,,
37559,10624,0,-151.45623246,40.17,83,0.014819756,599.2559204101562,-9.942610263824463,1236.515380859375,-4.76837158203125e-06,-0.04818561999127269,820,0.0003,0.06328125,0.2,,
,10752,,,,,0.008557316,798.3031616210938,-9.917933416366576,1478.2278076171874,-3.933906555175781e-06,-0.03640593634918332,830,0.0003,0.03125,0.2,134.0,-126.24451920000001
38623,10752,0,-151.25263381000002,40.09,84,,,,,,,,,,,,
38860,10880,0,-149.05404733,39.44,85,0.011785999,620.1150512695312,-9.910032558441163,1253.9722961425782,-1.6689300537109375e-06,-0.04813384665176272,840,0.0003,0.05546875,0.2,,
39075,11008,0,-142.77355677,37.31,86,0.0077275806,617.6796264648438,-9.88599705696106,1323.6596740722657,-1.1920928955078125e-06,-0.03405347592197359,850,0.0003,0.02109375,0.2,,
39309,11136,0,-136.92628302,35.94,87,0.0066580265,849.7190551757812,-9.8546733379364,1368.8073150634766,-3.5762786865234375e-06,-0.03160558044910431,860,0.0003,0.015625,0.2,,
,11264,,,,,0.010382307,476.6888427734375,-9.834247207641601,1139.3980529785156,-2.9802322387695312e-06,-0.04367868788540363,870,0.0003,0.0390625,0.2,134.0,-131.7243242
40368,11264,0,-137.91923266,36.18,88,,,,,,,,,,,,
40613,11392,0,-133.96512255,34.8,89,0.010252159,574.9302368164062,-9.860825252532958,1201.0225158691405,-4.0531158447265625e-06,-0.04302546614781022,880,0.0003,0.0484375,0.2,,
40842,11520,0,-131.56491992000002,34.02,90,0.006090566,895.3048095703125,-9.834587001800537,1616.8707092285156,-1.6689300537109375e-06,-0.03333564936183393,890,0.0003,0.01484375,0.2,,
41056,11648,0,-132.56584980999997,34.01,91,0.0070962277,717.063720703125,-9.865001201629639,1356.7938537597656,-2.9802322387695312e-06,-0.033554963767528534,900,0.0003,0.025,0.2,,
,11776,,,,,0.0049997233,795.6293334960938,-9.891621255874634,1644.819268798828,-2.1457672119140625e-06,-0.02845352990552783,910,0.0003,0.0140625,0.2,135.0,-149.2748864
42130,11776,0,-130.30777378000002,33.58,92,,,,,,,,,,,,
42357,11904,0,-131.84244225,33.92,93,0.0039094277,843.2039184570312,-9.882966089248658,1483.4042907714843,-2.6226043701171875e-06,-0.025388338323682546,920,0.0003,0.00703125,0.2,,
42583,12032,0,-132.89347598000003,34.06,94,0.004359397,866.3055419921875,-9.920301055908203,1771.4352966308593,-2.2649765014648438e-06,-0.025572402589023113,930,0.0003,0.01328125,0.2,,
42817,12160,0,-129.28485971,33.16,95,0.004843582,726.1497802734375,-9.954312419891357,1537.932440185547,-2.5033950805664062e-06,-0.02840450294315815,940,0.0003,0.0171875,0.2,,
,12288,,,,,0.009193872,635.4989013671875,-9.938610982894897,1434.6338745117187,-1.5497207641601562e-06,-0.0438438318669796,950,0.0003,0.0296875,0.2,264.6,-153.3913796
43933,12288,0,-130.41059136,33.09,96,,,,,,,,,,,,
44152,12416,0,-130.16990317,32.93,97,0.0153827,546.5069580078125,-9.911137104034424,1016.6104553222656,-2.9802322387695312e-06,-0.055004828795790675,960,0.0003,0.07421875,0.2,,
44375,12544,0,-135.07601075,34.02,98,0.007835407,643.2459106445312,-9.944010734558105,1373.2950866699218,-1.3113021850585938e-06,-0.031963517609983685,970,0.0003,0.025,0.2,,
44606,12672,0,-133.85535156,33.4,99,0.01108286,589.5733642578125,-10.003302669525146,1270.9038024902343,-2.2649765014648438e-06,-0.04618098922073841,980,0.0003,0.05,0.2,,
,12800,,,,,0.099662006,334.7718811035156,-9.940780687332154,685.3197326660156,-4.649162292480469e-06,-0.098707012552768,990,0.0003,0.39453125,0.2,107.6,-36.1612926
45498,12800,0,-135.73709614,33.83,100,,,,,,,,,,,,
45753,12928,0,-134.41765175000003,33.56,101,0.01118466,559.0977783203125,-9.940359115600586,1252.749737548828,-1.0728836059570312e-06,-0.029241010081022978,1000,0.0003,0.05859375,0.2,,
45983,13056,0,-134.99838302,33.62,102,0.024024494,616.08837890625,-9.830193185806275,1063.108450317383,-2.5033950805664062e-06,-0.06522328769788147,1010,0.0003,0.13203125,0.2,,
46234,13184,0,-138.3379656,34.29,103,0.01151697,767.1443481445312,-9.867309474945069,1337.9576538085937,-1.430511474609375e-06,-0.040534906135872004,1020,0.0003,0.04140625,0.2,,
,13312,,,,,0.0032579233,947.1692504882812,-9.771592378616333,1849.0261474609374,-5.960464477539062e-07,-0.020425972575321794,1030,0.0003,0.003125,0.2,58.0,-93.5237522
47255,13312,0,-131.7756671,33.03,104,,,,,,,,,,,,
