time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
6272,-303.10836495,49,0,55.08,23516,3034.1087890625,48,1.0,0.001,0.00032303488114848733,-1.6689300537109375e-06,0.05753103643655777,,
6400,-304.29400333,50,0,55.38,23787,3506.5197998046874,49,1.0,0.001,0.0003425059258006513,-2.0265579223632812e-06,0.053940266370773315,,
6528,-303.42100558,51,0,55.36,24064,2430.008447265625,50,1.0,0.001,0.0003432806406635791,-3.814697265625e-06,0.059643253684043884,,
6656,,,,,,3513.0781005859376,51,1.0,0.001,0.00035285568446852267,-1.5497207641601562e-06,0.053545981645584106,-181.00979260000003,399.0
6656,-305.99657536,52,0,55.79,25245,,,,,,,,,
6784,-307.16809479999995,53,0,56.09,25505,2070.024072265625,52,1.0,0.001,0.0003793148207478225,0.0,0.05114944279193878,,
6912,-305.22057191999994,54,0,55.91,25788,2491.1364990234374,53,1.0,0.001,0.00034200961817987263,-1.7881393432617188e-06,0.06028642877936363,,
7040,-303.10191144,55,0,55.77,26025,2935.24775390625,54,1.0,0.001,0.00037213892210274935,4.172325134277344e-07,0.05609236657619476,,
7168,,,,,,1975.1852416992188,55,1.0,0.001,0.0003474382101558149,-2.384185791015625e-07,0.05516665428876877,-180.356431,396.6
7168,-304.30613459999995,56,0,55.75,27220,,,,,,,,,
7296,-306.31876678,57,0,56.1,27498,4232.52763671875,56,1.0,0.001,0.00038194144144654274,1.1324882507324219e-06,0.05116964876651764,,
7424,-307.54704081,58,0,56.35,27755,2160.569140625,57,1.0,0.001,0.0003649046120699495,-1.0728836059570312e-06,0.05516922473907471,,
7552,-301.84172654,59,0,55.74,28014,2308.2113037109375,58,1.0,0.001,0.00038593364297412336,-1.0728836059570312e-06,0.051010921597480774,,
7680,,,,,,2208.800390625,59,1.0,0.001,0.0003612537984736264,-1.7881393432617188e-06,0.059609394520521164,-180.7304406,397.0
7680,-296.15235599,60,0,54.93,29187,,,,,,,,,
7808,-294.97624859,61,0,54.84,29449,2196.5158447265626,60,1.0,0.001,0.0003722803667187691,1.1920928955078125e-07,0.05923043191432953,,
7936,-290.52217371,62,0,54.21,29712,1572.7820556640625,61,1.0,0.001,0.0003641303046606481,-1.1920928955078125e-06,0.05876118317246437,,
8064,-291.31211006999996,63,0,54.55,29971,1983.2012329101562,62,1.0,0.001,0.00035436367033980787,-2.384185791015625e-06,0.05667883902788162,,
8192,,,,,,2032.326416015625,63,1.0,0.001,0.0004179786192253232,-2.1457672119140625e-06,0.06441032141447067,-180.9808262,397.0
8192,-288.89029891999996,64,0,54.19,31148,,,,,,,,,
8320,-289.1763192800001,65,0,54.44,31434,3624.491748046875,64,1.0,0.001,0.000362948514521122,8.344650268554688e-07,0.058384161442518234,,
8448,-291.15209982000005,66,0,54.69,31728,2164.218017578125,65,1.0,0.001,0.0003678406064864248,-2.0265579223632812e-06,0.058694057166576385,,
8576,-288.71051308,67,0,54.41,31985,4679.913232421875,66,1.0,0.001,0.00037653197068721056,3.5762786865234375e-07,0.052517205476760864,,
8704,,,,,,1467.1269409179688,67,1.0,0.001,0.0003489418304525316,-1.3113021850585938e-06,0.05644407123327255,-181.00744079999998,397.0
8704,-292.21861511000003,68,0,54.97,33175,,,,,,,,,
8832,-292.59398198,69,0,55.05,33438,3724.688330078125,68,1.0,0.001,0.00038156501250341535,0.0,0.055733490735292435,,
8960,-290.62270337999996,70,0,54.9,33701,2973.8874267578126,69,1.0,0.001,0.000361207959940657,-1.3113021850585938e-06,0.05953040346503258,,
9088,-292.32427413,71,0,55.24,33962,2377.7463623046874,70,1.0,0.001,0.00037830753717571497,-1.5497207641601562e-06,0.06264437735080719,,
9216,,,,,,2760.0287109375,71,1.0,0.001,0.00034199043875560164,-1.3113021850585938e-06,0.05709262192249298,-181.42946320000001,388.6
9216,-295.02016808999997,72,0,55.73,35124,,,,,,,,,
9344,-294.75301707,73,0,55.69,35401,2281.1020263671876,72,1.0,0.001,0.0003678363864310086,-8.344650268554688e-07,0.0510452501475811,,
9472,-292.57713618,74,0,55.57,35666,2383.72783203125,73,1.0,0.001,0.00038425539969466627,-4.76837158203125e-07,0.05747191235423088,,
9600,-289.70014861,75,0,55.23,35930,1554.9660034179688,74,1.0,0.001,0.0004128355358261615,-1.5497207641601562e-06,0.06481984257698059,,
9728,,,,,,2535.798583984375,75,1.0,0.001,0.0003581047058105469,-4.76837158203125e-07,0.05928419530391693,-181.0402856,397.0
9728,-292.51584743,76,0,55.67,37108,,,,,,,,,
9856,-294.36315275,77,0,56.04,37374,3239.1012939453126,76,1.0,0.001,0.00038567569572478533,1.3709068298339844e-06,0.05418374016880989,,
9984,-298.39766667000004,78,0,56.7,37645,2967.895849609375,77,1.0,0.001,0.0004182961129117757,0.0,0.055865105241537094,,
10112,-300.97815160000005,79,0,57.1,37890,2009.3642456054688,78,1.0,0.001,0.0003807417815551162,-1.3113021850585938e-06,0.06089639291167259,,
10240,,,,,,2533.4099853515627,79,1.0,0.001,0.00039489794289693236,-1.3113021850585938e-06,0.05617097020149231,-180.96025279999998,397.0
10240,-298.70779257000004,80,0,56.95,39050,,,,,,,,,
10368,-295.21680395,81,0,56.66,39321,2198.13974609375,80,1.0,0.001,0.000320165156153962,-1.6689300537109375e-06,0.062193043529987335,,
