time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
0,0.5,3776,59,22345,0.0036377106,-1.9669532775878906e-05,0.0003,740.6693115234375,-259.390721,580,0.0015625,-10.277270793914795,0.2,51.225352112676056,-0.024616684392094614,1497.464697265625,,
0,0.5,3840,60,22575,0.0040354785,-5.364418029785156e-06,0.0003,991.2050170898438,-258.82398680555553,590,0.00625,-10.279593563079834,0.2,51.09722222222222,-0.02779210265725851,1999.93740234375,,
0,0.5,3904,61,22787,0.005480813,-4.935264587402344e-05,0.0003,680.269287109375,-260.303041630137,600,0.0078125,-10.279905033111572,0.2,51.28767123287671,-0.030394608341157436,1376.2407958984375,,
0,0.5,3968,62,22994,0.004458946,-3.2067298889160156e-05,0.0003,616.7718505859375,-264.57968708000004,610,0.0046875,-10.277904605865478,0.2,52.04,-0.029532327502965926,1249.28974609375,,
0,0.5,4032,63,23219,0.0080150645,6.854534149169922e-06,0.0003,429.1892395019531,-261.5058112727273,620,0.028125,-10.27301254272461,0.2,51.493506493506494,-0.03694533314555883,873.0390197753907,,
,0.5,4096,,,0.005960388,3.4570693969726562e-06,0.0003,613.9290771484375,,630,0.0140625,-10.268763160705566,0.2,,-0.026340281963348387,1242.934716796875,-183.6629602,360.0
0,0.5,4096,64,24801,,,,,-261.5944633974359,,,,,51.57692307692308,,,,
0,0.5,4160,65,24994,0.004161218,5.0067901611328125e-06,0.0003,740.5391235351562,-261.5944633974359,640,0.003125,-10.267193031311034,0.2,51.57692307692308,-0.026070335321128367,1496.8020874023437,,
0,0.5,4224,66,25214,0.00804887,-4.172325134277344e-06,0.0003,517.8550415039062,-261.5944633974359,650,0.034375,-10.26362361907959,0.2,51.57692307692308,-0.03535026367753744,1051.2732421875,,
0,0.5,4288,67,25432,0.0051429756,5.602836608886719e-06,0.0003,638.489990234375,-262.0358086375,660,0.0046875,-10.26013994216919,0.2,51.7375,-0.029521817062050103,1292.9792602539062,,
0,0.5,4352,68,25642,0.0055734487,1.0132789611816406e-06,0.0003,504.10638427734375,-264.6589891097561,670,0.009375,-10.25673999786377,0.2,52.31707317073171,-0.031167930364608763,1022.5333679199218,,
0,0.5,4416,69,25871,0.00636035,-3.337860107421875e-06,0.0003,366.1286926269531,-261.24401652380953,680,0.0140625,-10.258051109313964,0.2,51.80952380952381,-0.02620083075016737,746.1237121582031,,
