time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
0,0.5,3968,62,23132,0.0041725347,-1.1920928955078125e-07,0.0003,728.794189453125,-294.6936578333333,610,0.003125,-10.276378059387207,0.2,57.484848484848484,-0.023581516928970814,1474.061474609375,,
0,0.5,4032,63,23346,0.004708091,0.0,0.0003,645.64990234375,-296.4303303134328,620,0.0015625,-10.267824268341064,0.2,57.8955223880597,-0.028923780564218758,1306.977392578125,,
,0.5,4096,,,0.004634967,1.1920928955078125e-07,0.0003,688.6463012695312,,630,0.00625,-10.266440105438232,0.2,,-0.02796579375863075,1393.5071166992188,-189.23114879999997,400.0
0,0.5,4096,64,24924,,,,,-295.1225790869565,,,,,57.78260869565217,,,,
0,0.5,4160,65,25113,0.005427777,0.0,0.0003,645.9205322265625,-297.0753350285714,640,0.00625,-10.263464164733886,0.2,58.07142857142857,-0.028435990400612354,1306.6974731445312,,
0,0.5,4224,66,25326,0.010763069,0.0,0.0003,458.05279541015625,-297.0753350285714,650,0.046875,-10.269180965423583,0.2,58.07142857142857,-0.042376468703150746,931.0009704589844,,
0,0.5,4288,67,25528,0.004006531,5.960464477539063e-08,0.0003,693.2257080078125,-295.62596576056336,660,0.00625,-10.266176700592041,0.2,57.774647887323944,-0.023680729418992998,1402.586669921875,,
0,0.5,4352,68,25734,0.0030071894,1.1920928955078125e-07,0.0003,515.0403442382812,-297.55630324657534,670,0.0,-10.259866046905518,0.2,58.19178082191781,-0.022889235336333514,1045.186962890625,,
0,0.5,4416,69,25967,0.006402538,0.0,0.0003,392.6115417480469,-297.7346557027027,680,0.0109375,-10.257283687591553,0.2,58.28378378378378,-0.031252583302557466,799.44052734375,,
0,0.5,4480,70,26185,0.006020274,1.1920928955078125e-07,0.0003,576.176025390625,-297.7346557027027,690,0.015625,-10.264055156707764,0.2,58.28378378378378,-0.034310291334986684,1167.5055419921875,,
0,0.5,4544,71,26386,0.003780854,-1.1920928955078125e-07,0.0003,549.4036254882812,-297.53102769333333,700,0.0,-10.268111228942871,0.2,58.50666666666667,-0.024383495561778545,1114.4119262695312,,
,0.5,4608,,,0.010342967,5.960464477539063e-08,0.0003,428.0635070800781,,710,0.0359375,-10.281681442260743,0.2,,-0.02901636194437742,870.9671569824219,-189.241585,100.0
0,0.5,4608,72,27928,,,,,-298.14230240259735,,,,,58.688311688311686,,,,
0,0.5,4672,73,28147,0.0046345787,0.0,0.0003,601.4994506835938,-298.14230240259735,720,0.0,-10.28917293548584,0.2,58.688311688311686,-0.02513481378555298,1218.0081176757812,,
0,0.5,4736,74,28357,0.006096893,0.0,0.0003,862.618408203125,-298.47653467088605,730,0.0203125,-10.291498470306397,0.2,58.68354430379747,-0.027953417506068945,1742.3721069335938,,
0,0.5,4800,75,28578,0.008860372,5.960464477539063e-08,0.0003,354.1280517578125,-298.47653467088605,740,0.034375,-10.300156402587891,0.2,58.68354430379747,-0.04092544112354517,722.1677368164062,,
0,0.5,4864,76,28783,0.008227431,5.960464477539063e-08,0.0003,418.89129638671875,-299.2187017875,750,0.01875,-10.295030879974366,0.2,58.9125,-0.035940434969961646,852.7467834472657,,
0,0.5,4928,77,29044,0.0095135765,0.0,0.0003,287.3039855957031,-298.9943854567901,760,0.03125,-10.29540843963623,0.2,59.123456790123456,-0.036154375039041044,588.1433959960938,,
0,0.5,4992,78,29293,0.0068488447,5.960464477539063e-08,0.0003,619.3728637695312,-298.49841151219505,770,0.0203125,-10.29149284362793,0.2,59.1219512195122,-0.03121945671737194,1254.2429565429688,,
0,0.475,5056,79,29506,0.0065860925,-1.1920928955078125e-07,0.0003,810.39404296875,-297.586299,780,0.0125,-10.290383243560791,0.2,59.01190476190476,-0.034919219091534615,1637.2293701171875,,
