train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
0.5,2688,-284.1142744680851,21,0,53.361702127659576,9422,200,0.0003,-0.03344882968813181,-6.496906280517578e-05,0.2,1051.689453125,2005.6241149902344,0.025,-10.325402450561523,0.008552384,,
0.5,2816,-279.50286275,22,0,52.48076923076923,9683,210,0.0003,-0.026999919023364783,-7.3909759521484375e-06,0.2,1952.8272705078125,4106.3205078125,0.00390625,-10.334365177154542,0.0042427466,,
0.5,2944,-282.2747388867925,23,0,52.9622641509434,9942,220,0.0003,-0.04486637795343995,-5.161762237548828e-05,0.2,839.9732055664062,1882.8260375976563,0.0296875,-10.327968215942382,0.009360198,,
0.5,3072,,,,,,230,0.0003,-0.020835401490330696,6.616115570068359e-06,0.2,2125.390869140625,3921.9237426757813,0.00078125,-10.321233558654786,0.0038964967,-181.20849700000002,200.8
0.5,3072,-281.5124697818182,24,0,52.78181818181818,11062,,,,,,,,,,,,
0.5,3200,-282.5373663103448,25,0,53.0,11327,240,0.0003,-0.027803135011345147,-3.5643577575683594e-05,0.2,1689.5606689453125,3136.616174316406,0.00625,-10.319859933853149,0.00387632,,
0.5,3328,-283.8114954262295,26,0,53.114754098360656,11589,250,0.0003,-0.024659203272312878,-1.1682510375976562e-05,0.2,1252.3203125,2733.8995971679688,0.00625,-10.31983118057251,0.0045297965,,
0.5,3456,-285.8193433064516,27,0,53.45161290322581,11878,260,0.0003,-0.03150862967595458,-2.7894973754882812e-05,0.2,1312.0057373046875,2729.95302734375,0.015625,-10.318859672546386,0.0064933253,,
0.5,3584,,,,,,270,0.0003,-0.020391464233398438,3.933906555175781e-06,0.2,1748.047607421875,3656.8338134765627,0.00078125,-10.319940567016602,0.0031719352,-180.864859,199.8
0.5,3584,-285.428876453125,28,0,53.546875,12996,,,,,,,,,,,,
0.5,3712,-283.36349425,29,0,53.05882352941177,13263,280,0.0003,-0.029935438372194766,-3.0994415283203125e-05,0.2,1262.6741943359375,2455.2472900390626,0.01015625,-10.321127462387086,0.0054179304,,
0.5,3840,-281.89142054285713,30,0,52.81428571428572,13552,290,0.0003,-0.030154459085315465,-1.2755393981933594e-05,0.2,1357.67578125,2817.6953125,0.00703125,-10.31917862892151,0.0056721857,,
0.5,3968,-285.8757908888889,31,0,53.361111111111114,13816,300,0.0003,-0.038521910458803175,-1.6450881958007812e-05,0.2,2107.072021484375,3843.8619018554687,0.025,-10.315961408615113,0.008371817,,
0.5,4096,,,,,,310,0.0003,-0.0333747539203614,-1.704692840576172e-05,0.2,972.0380249023438,2331.1583618164063,0.02421875,-10.310093545913697,0.0071881725,-169.9464528,201.0
0.5,4096,-286.7350975866667,32,0,53.61333333333334,14926,,,,,,,,,,,,
0.5,4224,-287.69337800000005,33,0,53.857142857142854,15174,320,0.0003,-0.03838841803371906,-2.3603439331054688e-05,0.2,1282.73193359375,2928.0500732421874,0.02421875,-10.301089763641357,0.007303507,,
0.5,4352,-284.19217503749996,34,0,53.3375,15437,330,0.0003,-0.034369547851383686,-1.2278556823730469e-05,0.2,1169.9140625,2420.820947265625,0.0203125,-10.299687433242799,0.00790865,,
