train/value_loss,train/learning_rate,train/n_updates,train/policy_loss,eval/mean_ep_length,time/total_timesteps,train/entropy_loss,eval/mean_reward,train/explained_variance,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
10.632346153259277,0.0007,287,-1.8203403949737549,134.0,36864,-2.0319056510925293,-181.8072806,0.32878559827804565,,,,,
8.698429107666016,0.0007,291,0.13880349695682526,134.0,37376,-1.8641347885131836,-182.00636579999997,0.5065096318721771,,,,,
6.709378719329834,0.0007,295,1.0652375221252441,134.0,37888,-1.912904977798462,-182.30801300000002,0.5034148693084717,,,,,
5.3724822998046875,0.0007,299,0.10463154315948486,134.0,38400,-1.96781587600708,-181.94709559999998,0.5535419881343842,,,,,
,,,,,38400,,,,0,-8.49706381,6.79,119743,300
20.9111270904541,0.0007,303,-5.091801166534424,134.0,38912,-1.9078025817871094,-181.6993418,0.40511155128479004,,,,,
4.6107282638549805,0.0007,307,-1.123214602470398,134.0,39424,-1.871198296546936,-181.3441818,0.5694966614246368,,,,,
6.065005302429199,0.0007,311,-1.0113226175308228,134.0,39936,-2.0040600299835205,-38.782525199999995,0.5358091294765472,,,,,
8.955398559570312,0.0007,315,-0.5320310592651367,83.0,40448,-1.861548900604248,-18.934318400000002,0.49404793977737427,,,,,
5.686801910400391,0.0007,319,0.23433125019073486,56.8,40960,-1.9218430519104004,-8.9277138,0.4233153462409973,,,,,
6.993943214416504,0.0007,323,-0.743017315864563,134.0,41472,-2.0097408294677734,-93.41814780000001,0.4913913607597351,,,,,
5.601670265197754,0.0007,327,2.686770439147949,31.0,41984,-2.0090219974517822,-8.8319862,0.5458064675331116,,,,,
4.270910263061523,0.0007,331,-0.2985681891441345,134.0,42496,-1.99155592918396,-38.327753,0.4913117289543152,,,,,
3.3912670612335205,0.0007,335,0.3909676671028137,31.0,43008,-2.045269012451172,-6.8686636000000005,0.640065461397171,,,,,
2.914806842803955,0.0007,339,-1.4582664966583252,56.4,43520,-2.219770908355713,-7.298137200000001,0.6261838376522064,,,,,
3.9751734733581543,0.0007,343,-0.2820666432380676,56.8,44032,-1.943053960800171,-10.3637272,0.4889989495277405,,,,,
4.600765705108643,0.0007,347,-1.101934790611267,108.6,44544,-1.7871809005737305,-44.839184,0.6025498509407043,,,,,
4.010090351104736,0.0007,351,1.7779550552368164,8.2,45056,-1.7209135293960571,-4.7433528,0.5512388944625854,,,,,
4.346423149108887,0.0007,355,0.07613825798034668,5.4,45568,-1.887770175933838,-5.4461688,0.5903414785861969,,,,,
2.508056879043579,0.0007,359,0.07462465763092041,31.2,46080,-1.7905831336975098,-5.9533124,0.6279248893260956,,,,,
3.587589740753174,0.0007,363,0.350591242313385,30.6,46592,-1.7762160301208496,-7.4102977999999995,0.5589134693145752,,,,,
2.3628287315368652,0.0007,367,-1.1518375873565674,82.8,47104,-1.7061975002288818,-16.1019686,0.6866844594478607,,,,,
3.3009142875671387,0.0007,371,-1.1071412563323975,32.6,47616,-1.6213767528533936,-7.0984321999999995,0.6463965475559235,,,,,
3.6045374870300293,0.0007,375,1.385446548461914,56.4,48128,-1.5738210678100586,-10.534941,0.6992419958114624,,,,,
4.810620307922363,0.0007,379,-0.39567312598228455,5.4,48640,-1.531198501586914,-6.1333114,0.5002863705158234,,,,,
4.047300338745117,0.0007,383,-0.9319015145301819,4.8,49152,-1.6928797960281372,-5.1271568,0.5137827098369598,,,,,
2.876372814178467,0.0007,387,-0.6022630929946899,57.0,49664,-1.6129282712936401,-10.712130400000001,0.6433835625648499,,,,,
2.8238279819488525,0.0007,391,-0.21947930753231049,31.6,50176,-1.5383257865905762,-6.6273736,0.6683431565761566,,,,,
4.786248207092285,0.0007,395,-2.393450975418091,4.6,50688,-1.7428090572357178,-5.7399222000000005,0.4935314655303955,,,,,
3.4241747856140137,0.0007,399,-0.9664126634597778,4.8,51200,-1.6309680938720703,-5.7082532,0.6458762288093567,,,,,
,,,,,51200,,,,0,-7.02502672,5.69,144307,400
2.043468475341797,0.0007,403,0.02367052435874939,82.6,51712,-1.4106731414794922,-18.4603738,0.6635714769363403,,,,,
2.523897409439087,0.0007,407,-0.2579410970211029,5.4,52224,-1.6246440410614014,-5.757182800000001,0.7050157487392426,,,,,
4.042707920074463,0.0007,411,-1.242199420928955,82.8,52736,-1.4093955755233765,-15.503357599999998,0.31549715995788574,,,,,
8.032092094421387,0.0007,415,-1.1656748056411743,5.0,53248,-1.5378365516662598,-5.598620599999999,0.04433083534240723,,,,,
2.3042795658111572,0.0007,419,0.24784769117832184,31.4,53760,-1.541462779045105,-8.9002036,0.5537033975124359,,,,,
4.160678863525391,0.0007,423,-2.0688116550445557,82.8,54272,-1.4539539813995361,-11.2406688,0.48766207695007324,,,,,
2.691417694091797,0.0007,427,0.3342147469520569,32.6,54784,-1.4651284217834473,-8.886738,0.6613216996192932,,,,,
2.87846040725708,0.0007,431,-0.287980854511261,108.2,55296,-1.4877045154571533,-19.918506999999998,0.564003586769104,,,,,
6.388423442840576,0.0007,435,-1.5247117280960083,82.6,55808,-1.2103952169418335,-11.4098278,0.3207491636276245,,,,,
3.2910146713256836,0.0007,439,-1.457423210144043,5.0,56320,-1.4639382362365723,-6.015191,0.6449523568153381,,,,,
2.6076745986938477,0.0007,443,0.8323341608047485,5.2,56832,-1.4168305397033691,-6.1716136,0.7160616219043732,,,,,
2.1070594787597656,0.0007,447,-1.304107904434204,31.0,57344,-1.4209258556365967,-8.2776322,0.7285511493682861,,,,,
1.7250611782073975,0.0007,451,-1.0551118850708008,6.0,57856,-1.375788927078247,-5.2209036,0.7089708149433136,,,,,
8.219728469848633,0.0007,455,-1.2344752550125122,4.6,58368,-0.9867315888404846,-4.7910732000000005,0.119742751121521,,,,,
2.173579454421997,0.0007,459,-1.50715172290802,57.0,58880,-1.3211455345153809,-15.8587422,0.7169699668884277,,,,,
5.184080123901367,0.0007,463,-1.2189321517944336,4.2,59392,-1.1426008939743042,-4.8505308,0.391279935836792,,,,,
2.0161328315734863,0.0007,467,-0.5013856887817383,31.0,59904,-1.240999460220337,-5.5504284,0.6425292789936066,,,,,
1.7068188190460205,0.0007,471,-0.5839575529098511,31.4,60416,-1.1521130800247192,-7.669252200000001,0.7202204167842865,,,,,
7.546572685241699,0.0007,475,-0.4031355679035187,85.2,60928,-0.8322880268096924,-19.777385199999998,0.11235940456390381,,,,,
2.256413459777832,0.0007,479,0.6102808713912964,31.0,61440,-1.0124030113220215,-6.4638958,0.5780860781669617,,,,,
1.7942562103271484,0.0007,483,-0.7590523958206177,30.6,61952,-1.0763026475906372,-6.420667,0.7172325849533081,,,,,
3.7378392219543457,0.0007,487,0.8594058752059937,30.8,62464,-1.102694034576416,-6.664212000000001,0.6436630189418793,,,,,
2.2812399864196777,0.0007,491,0.021026551723480225,4.8,62976,-1.1293673515319824,-5.638314,0.685700535774231,,,,,
2.711085319519043,0.0007,495,-0.778024435043335,56.6,63488,-0.9043071269989014,-8.968856599999999,0.5459028482437134,,,,,
2.0151829719543457,0.0007,499,0.048337019979953766,5.0,64000,-1.1189062595367432,-4.6663224,0.7082167267799377,,,,,
,,,,,64000,,,,0,-6.31509911,6.33,165273,500
1.5410276651382446,0.0007,503,0.5178733468055725,6.0,64512,-1.1174564361572266,-4.947631799999999,0.7639738917350769,,,,,
5.92964506149292,0.0007,507,-1.1902810335159302,4.6,65024,-0.8836691379547119,-4.356237999999999,0.3353266716003418,,,,,
2.092616558074951,0.0007,511,-0.1796104609966278,56.6,65536,-1.1132895946502686,-9.2517852,0.7104889452457428,,,,,
2.218322992324829,0.0007,515,-0.5506703853607178,31.0,66048,-1.1847457885742188,-7.8926292,0.6595853865146637,,,,,
1.3289752006530762,0.0007,519,0.1837235689163208,6.0,66560,-1.0970717668533325,-5.3389728,0.757202684879303,,,,,
2.4493680000305176,0.0007,523,0.7982324361801147,6.4,67072,-1.3387593030929565,-5.5488338,0.7203721106052399,,,,,
16.48927116394043,0.0007,527,-0.5846801400184631,30.8,67584,-0.7256336212158203,-10.569143,0.04214400053024292,,,,,
4.637840270996094,0.0007,531,1.1889163255691528,4.6,68096,-1.0156766176223755,-4.5800654,0.5609244108200073,,,,,
2.2579009532928467,0.0007,535,-1.5462919473648071,5.2,68608,-0.9413856267929077,-4.7113092000000005,0.656512439250946,,,,,
2.7547082901000977,0.0007,539,-1.5250998735427856,5.0,69120,-1.328782081604004,-5.843808,0.5910606682300568,,,,,
1.830328106880188,0.0007,543,-0.8862392902374268,4.8,69632,-1.1301345825195312,-5.1670102,0.6826328039169312,,,,,
2.130910634994507,0.0007,547,-1.8347699642181396,5.8,70144,-1.0435400009155273,-5.194613599999999,0.6546202003955841,,,,,
1.9364200830459595,0.0007,551,-0.4877380132675171,5.2,70656,-1.1244535446166992,-6.501070399999999,0.6518806219100952,,,,,
1.8852498531341553,0.0007,555,-0.831501841545105,31.6,71168,-1.07612943649292,-6.737698599999999,0.7102625966072083,,,,,
1.5422396659851074,0.0007,559,0.4976405203342438,31.2,71680,-1.1591756343841553,-9.0861318,0.8030247539281845,,,,,
1.8701725006103516,0.0007,563,0.24902136623859406,30.6,72192,-0.8738892078399658,-7.4646137999999995,0.49315696954727173,,,,,
2.1524105072021484,0.0007,567,-1.1061947345733643,56.4,72704,-0.9144573211669922,-8.0762156,0.6674396991729736,,,,,
4.740290641784668,0.0007,571,0.5943768620491028,31.0,73216,-0.9419822692871094,-8.1762606,0.5236846804618835,,,,,
3.181635856628418,0.0007,575,0.6088434457778931,30.8,73728,-1.053104043006897,-7.0826408,0.686217337846756,,,,,
7.766998291015625,0.0007,579,0.38441240787506104,32.2,74240,-1.1350895166397095,-6.1598472,0.3721211552619934,,,,,
4.258650779724121,0.0007,583,0.4840465784072876,31.8,74752,-0.8397814035415649,-7.167578600000001,0.5121636688709259,,,,,
1.2710133790969849,0.0007,587,-0.38117724657058716,82.6,75264,-1.0582561492919922,-10.699843000000001,0.7576536685228348,,,,,
4.2255940437316895,0.0007,591,0.7093725204467773,5.0,75776,-0.9546126127243042,-4.935545,0.5038965046405792,,,,,
1.9704312086105347,0.0007,595,0.012845933437347412,5.6,76288,-0.9633060097694397,-5.4245514,0.5879023373126984,,,,,
1.588120937347412,0.0007,599,-0.07718932628631592,31.0,76800,-0.7745474576950073,-8.4024806,0.6439608931541443,,,,,
,,,,,76800,,,,0,-6.20404066,6.78,183963,600
3.1845788955688477,0.0007,603,-0.8798999786376953,4.8,77312,-0.9829280376434326,-4.6380642,0.5523141920566559,,,,,
2.2756927013397217,0.0007,607,-1.0219025611877441,30.4,77824,-0.7423794269561768,-7.127607,0.588604599237442,,,,,
1.3054113388061523,0.0007,611,-0.44477778673171997,31.2,78336,-1.1150590181350708,-6.927640800000001,0.7773987799882889,,,,,
2.206385374069214,0.0007,615,-1.1247406005859375,5.2,78848,-0.9410111904144287,-5.5421178,0.6882583200931549,,,,,
3.189270257949829,0.0007,619,-0.24040718376636505,4.4,79360,-0.8431607484817505,-5.361661000000001,0.5210468471050262,,,,,
1.77034330368042,0.0007,623,0.05963866412639618,5.8,79872,-0.914252758026123,-6.1299718,0.7223232090473175,,,,,
2.006507158279419,0.0007,627,-0.17140556871891022,32.0,80384,-0.8347235321998596,-8.3397512,0.6315045654773712,,,,,
3.608029842376709,0.0007,631,0.47241464257240295,6.0,80896,-1.009634017944336,-6.0071128,0.5193926095962524,,,,,
1.6747004985809326,0.0007,635,-1.0915038585662842,8.4,81408,-1.1064646244049072,-5.8094554,0.7932672798633575,,,,,
2.550666570663452,0.0007,639,-0.09516143798828125,82.2,81920,-0.6779506206512451,-9.5339466,0.6276912093162537,,,,,
3.1616315841674805,0.0007,643,0.3995901048183441,108.2,82432,-0.5852017402648926,-22.229229800000002,0.1417398452758789,,,,,
1.9295581579208374,0.0007,647,-0.2930331528186798,57.2,82944,-0.7128591537475586,-7.4498694,0.6423813104629517,,,,,
1.9843356609344482,0.0007,651,0.23860302567481995,5.0,83456,-0.9561852216720581,-5.3633328,0.7013059556484222,,,,,
1.511240839958191,0.0007,655,0.21239927411079407,5.6,83968,-1.0066962242126465,-5.0939392,0.751898929476738,,,,,
1.769536018371582,0.0007,659,0.21704520285129547,29.8,84480,-1.0842205286026,-5.3651294,0.776267796754837,,,,,
1.606013298034668,0.0007,663,-0.030758559703826904,3.6,84992,-0.7973522543907166,-5.797839999999999,0.6991725564002991,,,,,
1.2707524299621582,0.0007,667,0.011858377605676651,4.4,85504,-1.1455637216567993,-6.004628200000001,0.7808776348829269,,,,,
2.0340142250061035,0.0007,671,0.7000172138214111,56.0,86016,-0.9895745515823364,-7.816219800000001,0.7801163196563721,,,,,
2.9148330688476562,0.0007,675,-0.1562175750732422,3.6,86528,-0.6875442266464233,-4.853971800000001,0.6034582853317261,,,,,
1.858796238899231,0.0007,679,0.3582017421722412,3.8,87040,-0.7235882878303528,-4.0834345999999995,0.6246235966682434,,,,,
5.665927886962891,0.0007,683,0.598648190498352,56.0,87552,-0.5327375531196594,-10.1061124,0.006224393844604492,,,,,
2.8873507976531982,0.0007,687,0.2229992151260376,56.8,88064,-0.8444762229919434,-13.5827098,0.6485235095024109,,,,,
1.8710020780563354,0.0007,691,0.1576746106147766,56.6,88576,-0.9242427945137024,-11.4738648,0.7082277238368988,,,,,
2.4783689975738525,0.0007,695,0.5699837803840637,4.0,89088,-1.0323208570480347,-4.9556366,0.6752960383892059,,,,,
1.24869704246521,0.0007,699,-0.5700553059577942,81.8,89600,-0.8661775588989258,-12.4480542,0.7123153209686279,,,,,
,,,,,89600,,,,0,-6.138794919999999,5.73,203851,700
1.6440500020980835,0.0007,703,-0.3370366096496582,5.2,90112,-1.0390441417694092,-5.759441399999999,0.7681703865528107,,,,,
1.5763872861862183,0.0007,707,0.19186937808990479,4.6,90624,-0.8407525420188904,-5.579936399999999,0.7757715582847595,,,,,
4.645689487457275,0.0007,711,-0.2075926959514618,56.0,91136,-0.8205051422119141,-12.275434999999998,0.5312710404396057,,,,,
1.2459793090820312,0.0007,715,-0.187991663813591,55.8,91648,-0.9690990447998047,-12.702748800000002,0.7902059555053711,,,,,
1.155842661857605,0.0007,719,-0.5901417136192322,30.6,92160,-0.9213351011276245,-8.454535799999999,0.7507084012031555,,,,,
2.0026979446411133,0.0007,723,-0.5509690046310425,4.0,92672,-0.734697163105011,-6.262338000000001,0.558829128742218,,,,,
2.445322275161743,0.0007,727,-1.318852424621582,30.0,93184,-0.7792716026306152,-6.3573710000000005,0.6570082902908325,,,,,
2.024601697921753,0.0007,731,-1.1339573860168457,4.0,93696,-0.8746251463890076,-5.884041600000001,0.6773214936256409,,,,,
1.3231927156448364,0.0007,735,-0.735982358455658,30.2,94208,-0.9290236234664917,-8.4034354,0.7731999456882477,,,,,
2.012963056564331,0.0007,739,-0.5958404541015625,3.8,94720,-0.7466291189193726,-5.356142999999999,0.6216408312320709,,,,,
1.05503249168396,0.0007,743,-0.39804041385650635,4.0,95232,-0.845930814743042,-6.3532994,0.812909409403801,,,,,
1.2237677574157715,0.0007,747,-0.11423832178115845,81.8,95744,-0.6074092388153076,-15.219991400000001,0.6728498339653015,,,,,
3.091017246246338,0.0007,751,0.14960433542728424,29.6,96256,-0.6075639128684998,-6.9663112,0.6996702253818512,,,,,
1.242614984512329,0.0007,755,-0.5725270509719849,4.4,96768,-0.7517796754837036,-5.4951924000000005,0.7260345220565796,,,,,
8.305880546569824,0.0007,759,0.11146628856658936,30.2,97280,-0.4892937242984772,-7.3797748,0.3116094470024109,,,,,
3.270991563796997,0.0007,763,-0.884392261505127,4.4,97792,-0.7059182524681091,-5.679141800000001,0.42964237928390503,,,,,
2.2167017459869385,0.0007,767,0.4566514194011688,4.0,98304,-0.7216287851333618,-5.8201734,0.7425141334533691,,,,,
1.7419259548187256,0.0007,771,-0.16026552021503448,56.0,98816,-0.7102091908454895,-9.903462600000001,0.6915651857852936,,,,,
4.575482368469238,0.0007,775,-0.556975245475769,29.8,99328,-0.493205726146698,-8.907760399999999,0.5939614772796631,,,,,
2.093984842300415,0.0007,779,-0.4212139844894409,3.4,99840,-0.6143122315406799,-4.805689800000001,0.765256479382515,,,,,
