time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/kl_divergence_loss,train/policy_objective,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/is_line_search_success,eval/mean_ep_length,eval/mean_reward
26623,8448,0,-10.594643559999998,4.97,66,0.054681576788425446,0.4961066246032715,65,0.001,138.52642211914062,5.239248275756836e-05,1.0,,
26854,8576,0,-10.79781521,5.12,67,0.04934670403599739,0.36247825622558594,66,0.001,130.615975189209,3.916025161743164e-05,1.0,,
,8704,,,,,0.06037632375955582,0.515581488609314,67,0.001,107.57433013916015,5.143880844116211e-05,1.0,3.2,-5.5796132
27131,8704,0,-10.669012619999998,4.87,68,,,,,,,,,
27392,8832,0,-10.37078294,4.77,69,0.061345938593149185,0.4104224443435669,68,0.001,124.63157501220704,6.371736526489258e-05,1.0,,
27662,8960,0,-10.51624162,4.61,70,0.03689824044704437,0.32388728857040405,69,0.001,131.62230377197267,0.00018227100372314453,1.0,,
27931,9088,0,-11.037452129999997,4.49,71,0.04390714690089226,0.324296236038208,70,0.001,115.48493041992188,0.000689089298248291,1.0,,
,9216,,,,,0.04483283683657646,0.49234771728515625,71,0.001,94.99345321655274,0.00033468008041381836,1.0,3.2,-6.1573288
28226,9216,0,-11.42103204,4.45,72,,,,,,,,,
28482,9344,0,-10.706848670000001,4.21,73,0.053941406309604645,0.47452279925346375,72,0.001,97.1678840637207,0.00016158819198608398,1.0,,
28739,9472,0,-9.35584687,3.93,74,0.0450446717441082,0.32795292139053345,73,0.001,107.0076187133789,0.0008459687232971191,1.0,,
29004,9600,0,-9.15856798,4.01,75,0.054626092314720154,0.3946641683578491,74,0.001,84.49970703125,0.02444446086883545,1.0,,
,9728,,,,,0.04122056066989899,0.34635812044143677,75,0.001,71.4017219543457,0.005860567092895508,1.0,13.2,-11.847549
29450,9728,0,-9.649037240000002,3.97,76,,,,,,,,,
