time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
20864,-5.713240999999999,163,0,9.67,45488,1620,0.0003,-0.017078544734977184,0.9843599740415812,0.2,-0.01907927729189396,0.04404206452891231,0.1015625,-1.3437359631061554,0.011031941,,
20992,,,,,,1630,0.0003,-0.022792990691959857,0.9667015932500362,0.2,0.006254835054278374,0.12358906678855419,0.12734375,-1.3051859557628631,0.014401095,-12.882625,168.2
20992,-5.709524459999999,164,0,9.47,45952,,,,,,,,,,,,
21120,-5.63530615,165,0,9.54,46032,1640,0.0003,-0.01351774213835597,0.9804489556699991,0.2,0.019754605367779732,0.07571075931191444,0.07109375,-1.3532762408256531,0.012766104,,
21248,-5.4681009199999995,166,0,9.59,46107,1650,0.0003,-0.014068154944106936,0.9548359178006649,0.2,0.035567548125982285,0.13815927803516387,0.06875,-1.221557867527008,0.012352104,,
21376,-5.53224329,167,0,10.29,46179,1660,0.0003,-0.01829138761386275,0.9467328600585461,0.2,0.0318480059504509,0.1657876752316952,0.20234375,-1.259510886669159,0.18938172,,
21504,,,,,,1670,0.0003,-0.01457197591662407,0.9405188262462616,0.2,0.11398351192474365,0.22990301996469498,0.1203125,-1.295884335041046,0.014712021,-4.6195616,11.8
21504,-5.451891400000002,168,0,10.11,46293,,,,,,,,,,,,
21632,-5.463539359999999,169,0,10.1,46374,1680,0.0003,-0.030577104724943637,0.9868966825306416,0.2,-0.013761073350906372,0.06245547775179148,0.21796875,-1.3370134234428406,0.13083264,,
21760,-5.46413942,170,0,10.26,46452,1690,0.0003,-0.01714094979688525,0.9845219505950809,0.2,-0.0146381426602602,0.046892299503088,0.121875,-1.2011623620986938,0.022849578,,
21888,-5.40679654,171,0,10.37,46531,1700,0.0003,-0.012284131906926631,0.9885021708905697,0.2,-0.019040388986468315,0.035423675924539565,0.05703125,-1.1735244393348694,0.011808645,,
22016,,,,,,1710,0.0003,-0.02571568638086319,0.9857899053022265,0.2,-0.03316321223974228,0.031151355337351562,0.09921875,-1.1269868791103363,0.034856126,-3.2524113999999997,15.8
22016,-5.433976230000002,172,0,10.5,46656,,,,,,,,,,,,
22144,-5.330195060000001,173,0,10.23,46742,1720,0.0003,-0.019055284280329942,0.9563915990293026,0.2,0.09559710323810577,0.1648822022601962,0.0796875,-1.0928691506385804,0.011601546,,
22272,-5.385370760000001,174,0,10.48,46824,1730,0.0003,-0.021296351589262484,0.9683474227786064,0.2,0.01673988252878189,0.10257965996861458,0.18671875,-1.1182767033576966,0.054909956,,
22400,-5.26939974,175,0,9.89,46903,1740,0.0003,-0.019068969041109086,0.8798171132802963,0.2,-0.014460694044828415,0.11970197893679142,0.18046875,-1.2515555024147034,0.011548618,,
22528,,,,,,1750,0.0003,-0.011067570187151432,0.8634009510278702,0.2,0.1393665075302124,0.3576847083866596,0.13203125,-1.0225299537181853,0.02192824,-6.6800972000000005,93.4
22528,-5.20372404,176,0,9.95,47190,,,,,,,,,,,,
22656,-5.181416569999999,177,0,10.04,47263,1760,0.0003,-0.011551964469254017,0.9054039567708969,0.2,0.08094809949398041,0.25728490129113196,0.08046875,-0.9575732052326202,0.012820322,,
22784,-5.0754503699999995,178,0,10.13,47330,1770,0.0003,-0.004189897701144219,0.9191495776176453,0.2,0.1288210153579712,0.2816728115081787,0.04609375,-0.9113221436738967,0.0112146605,,
22912,-5.10816777,179,0,10.62,47397,1780,0.0003,-0.0021242549177259208,0.9011121615767479,0.2,0.0860670879483223,0.2879131644964218,0.04453125,-0.8925203680992126,0.002384778,,
23040,,,,,,1790,0.0003,-0.0021901668980717657,0.6944369077682495,0.2,0.41879409551620483,1.1090051233768463,0.0359375,-0.9474083572626114,0.0035201292,-4.595772999999999,15.0
23040,-5.067870259999999,180,0,10.42,47508,,,,,,,,,,,,
23168,-5.120568970000001,181,0,10.26,47577,1800,0.0003,-0.016267454996705056,0.8796372562646866,0.2,0.17753854393959045,0.6148989230394364,0.084375,-1.0102121353149414,0.017012037,,
23296,-5.333816979999999,182,0,12.81,47647,1810,0.0003,-0.018126979377120732,0.9166684821248055,0.2,0.09025313705205917,0.3919998660683632,0.12734375,-1.0876119017601014,0.010913881,,
23424,-5.418052509999999,183,0,13.78,47722,1820,0.0003,-0.017168590798974037,0.815756618976593,0.2,0.1603153944015503,0.5340770587325097,0.05859375,-0.9482970893383026,0.009573011,,
23552,,,,,,1830,0.0003,-0.007983648451045156,0.9509743675589561,0.2,0.02471565082669258,0.11620600931346417,0.0703125,-1.0346803307533263,0.0155609455,-5.374494400000001,16.2
23552,-5.464388400000002,184,0,13.6,47835,,,,,,,,,,,,
23680,-5.549812579999999,185,0,13.65,47908,1840,0.0003,-0.014369100052863359,0.9494452252984047,0.2,0.06710109859704971,0.1966634949669242,0.08828125,-0.9996100395917893,0.013759832,,
23808,-5.5563071799999975,186,0,14.02,47977,1850,0.0003,-0.01097678611986339,0.9553623460233212,0.2,0.07355325669050217,0.17178200781345368,0.08828125,-1.0236921727657318,0.018542921,,
23936,-5.540649229999999,187,0,14.01,48041,1860,0.0003,-0.023937519732862712,0.9740071799606085,0.2,-0.0061309970915317535,0.08978866077959538,0.15390625,-0.9185423940420151,0.013776439,,
24064,,,,,,1870,0.0003,-0.013978938199579715,0.988074560649693,0.2,0.005090486258268356,0.046290195919573306,0.1078125,-0.8174529999494553,0.02220339,-3.5754122,12.0
24064,-5.59486471,188,0,13.81,48134,,,,,,,,,,,,
24192,-5.5496276,189,0,13.88,48196,1880,0.0003,-0.014874994428828359,0.9667357690632343,0.2,-0.007619008421897888,0.0878443393856287,0.0828125,-0.7223505765199661,0.03291049,,
24320,-5.3229776399999995,190,0,11.46,48263,1890,0.0003,-0.005666694696992635,0.9856598665937781,0.2,-0.0005456004291772842,0.031402982957661155,0.0359375,-0.6946627646684647,0.012368423,,
24448,-5.19806271,191,0,10.72,48330,1900,0.0003,-6.958171725273133e-05,0.9921845030039549,0.2,-0.022733449935913086,0.016617095144465566,0.0734375,-0.7728253871202468,0.041417502,,
24576,,,,,,1910,0.0003,-0.0179481559433043,0.9867270467802882,0.2,-0.009064657613635063,0.03735887324437499,0.084375,-0.6927137911319733,0.02716218,-4.8142172,14.6
24576,-5.154409499999999,192,0,10.91,48431,,,,,,,,,,,,
24704,-5.215119260000002,193,0,11.1,48497,1920,0.0003,-0.010279959347099066,0.983095234259963,0.2,-0.0033839866518974304,0.03816493870690465,0.05,-0.6417265236377716,0.036018297,,
24832,-5.194407100000001,194,0,11.32,48559,1930,0.0003,-0.0371225287206471,0.8934386670589447,0.2,0.01133245974779129,0.2543634042143822,0.240625,-0.7468716531991959,0.06217859,,
24960,-5.211423229999999,195,0,12.02,48626,1940,0.0003,-0.022349897120147944,0.9862763807177544,0.2,-0.04078119993209839,0.036434711795300244,0.1703125,-0.7213984429836273,0.03316312,,
25088,,,,,,1950,0.0003,-0.010533245466649532,0.9776774775236845,0.2,-0.007782928645610809,0.06924170069396496,0.0703125,-0.649757343530655,0.011147712,-4.078889200000001,11.8
25088,-5.29572576,196,0,12.2,48719,,,,,,,,,,,,
25216,-5.24064632,197,0,11.91,48784,1960,0.0003,-0.009274207521229982,0.9574607200920582,0.2,0.04328436404466629,0.18005593083798885,0.053125,-0.5766550898551941,0.009644261,,
