time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/kl_divergence_loss,train/learning_rate,train/n_updates,train/is_line_search_success,train/policy_objective,train/explained_variance,eval/mean_ep_length,eval/mean_reward
31360,0,-6.018256779999999,3.81,90720,245,1.625201416015625,0.0057147652842104435,0.001,244,1.0,0.10390348732471466,0.7820312976837158,,
31488,0,-6.358159,3.97,90911,246,0.951382851600647,0.006275394465774298,0.001,245,1.0,0.08996852487325668,0.8599980175495148,,
31616,0,-6.294872050000001,3.9,91100,247,1.6776926875114442,0.0038771259132772684,0.001,246,1.0,0.06965449452400208,0.7701450884342194,,
31744,,,,,,1.6451776385307313,0.006005018018186092,0.001,247,1.0,0.07572110742330551,0.756740540266037,6.6,-5.080925000000001
31744,0,-6.271069720000001,4.21,91286,248,,,,,,,,,
31872,0,-6.28996242,4.29,91462,249,0.9963536918163299,0.005705127492547035,0.001,248,1.0,0.06436868011951447,0.848866268992424,,
32000,0,-6.276500560000001,4.34,91642,250,1.2168196439743042,0.005783136002719402,0.001,249,1.0,0.07634751498699188,0.82474684715271,,
32128,0,-6.20548809,4.35,91814,251,0.8866329193115234,0.005928348749876022,0.001,250,1.0,0.08762694895267487,0.8641175031661987,,
32256,,,,,,0.8906354665756225,0.006529896520078182,0.001,251,1.0,0.08392477035522461,0.8397748619318008,6.2,-5.690599
32256,0,-6.247834509999999,4.37,92013,252,,,,,,,,,
32384,0,-6.1580567199999985,4.27,92195,253,1.7407740712165833,0.0066433376632630825,0.001,252,1.0,0.08071683347225189,0.7813712805509567,,
32512,0,-6.24271989,4.42,92364,254,1.1689327836036683,0.00854567438364029,0.001,253,1.0,0.06720186024904251,0.8276390731334686,,
32640,0,-6.186396669999999,4.31,92529,255,0.8987269043922425,0.007320291828364134,0.001,254,1.0,0.0694359615445137,0.8421894460916519,,
32768,,,,,,2.1734038829803466,0.007014269009232521,0.001,255,1.0,0.10527034103870392,0.6942941844463348,4.6,-6.3179146
32768,0,-6.10032654,4.41,92738,256,,,,,,,,,
32896,0,-6.060945289999999,4.44,92902,257,1.175524616241455,0.005128932185471058,0.001,256,1.0,0.09713533520698547,0.8187264800071716,,
33024,0,-5.844687830000001,4.47,93062,258,0.9551595032215119,0.009481118991971016,0.001,257,1.0,0.0845012441277504,0.8345962315797806,,
33152,0,-5.6179065900000005,4.32,93235,259,0.7822249233722687,0.00458797812461853,0.001,258,1.0,0.07068958878517151,0.8360343873500824,,
33280,,,,,,0.8041750848293304,0.007318080402910709,0.001,259,1.0,0.08347739279270172,0.851189061999321,4.4,-5.338997399999999
33280,0,-5.596129460000001,4.22,93478,260,,,,,,,,,
33408,0,-5.73069699,4.22,93676,261,1.035780906677246,0.00625159777700901,0.001,260,1.0,0.07599984854459763,0.8365664184093475,,
33536,0,-5.88183816,4.39,93881,262,0.7647212743759155,0.006756060756742954,0.001,261,1.0,0.05397462099790573,0.8683447986841202,,
33664,0,-5.88923982,4.47,94072,263,0.6870110392570495,0.004867155104875565,0.001,262,1.0,0.07898195087909698,0.8936837613582611,,
33792,,,,,,0.8090260326862335,0.007249206304550171,0.001,263,1.0,0.07836692035198212,0.8624637722969055,4.8,-4.997674600000001
33792,0,-5.922736280000001,4.42,94315,264,,,,,,,,,
33920,0,-6.00888372,4.38,94540,265,0.9129967510700225,0.0076568154618144035,0.001,264,1.0,0.08831623196601868,0.8639654368162155,,
34048,0,-5.956329780000001,4.41,94740,266,0.8916337311267852,0.005584186874330044,0.001,265,1.0,0.08365684747695923,0.8526293039321899,,
34176,0,-5.854850060000001,4.41,94943,267,0.6908541440963745,0.00924436654895544,0.001,266,1.0,0.09923243522644043,0.8732051402330399,,
34304,,,,,,1.000409346818924,0.004548478871583939,0.001,267,1.0,0.08667618036270142,0.8451783359050751,5.4,-5.535747
34304,0,-5.862900150000001,4.5,95173,268,,,,,,,,,
34432,0,-5.82670135,4.39,95392,269,1.1019513249397277,0.008101418614387512,0.001,268,1.0,0.06777023524045944,0.8168364316225052,,
34560,0,-6.023233349999999,4.52,95591,270,0.6941561102867126,0.007386728655546904,0.001,269,1.0,0.09658049792051315,0.8789883032441139,,
34688,0,-5.94112276,4.35,95807,271,0.7911976039409637,0.00837693177163601,0.001,270,1.0,0.06852750480175018,0.8769597336649895,,
34816,,,,,,0.7882167816162109,0.006777250673621893,0.001,271,1.0,0.08177453279495239,0.8583668172359467,4.4,-4.3554786
34816,0,-5.77245352,4.23,96050,272,,,,,,,,,
34944,0,-5.8192834100000015,4.32,96267,273,0.7782636880874634,0.006733136251568794,0.001,272,1.0,0.10464081168174744,0.8712978363037109,,
35072,0,-5.7165104399999995,4.23,96475,274,1.1201829075813294,0.008614283986389637,0.001,273,1.0,0.10080641508102417,0.8190454542636871,,
35200,0,-5.574449279999999,4.17,96675,275,0.6918726086616516,0.005923587363213301,0.001,274,1.0,0.08936367183923721,0.8810600340366364,,
35328,,,,,,0.6988173067569733,0.005704805720597506,0.001,275,1.0,0.05663062259554863,0.8503386676311493,12.0,-5.961458599999999
35328,0,-5.47250676,4.24,96971,276,,,,,,,,,
35456,0,-5.44402665,4.47,97170,277,1.0589990019798279,0.008503872901201248,0.001,276,1.0,0.06667238473892212,0.8176857978105545,,
35584,0,-5.537150090000001,4.67,97372,278,0.6574773609638214,0.00738480081781745,0.001,277,1.0,0.08670167624950409,0.8743946552276611,,
35712,0,-5.655404850000001,4.74,97585,279,0.7151652038097381,0.008054458536207676,0.001,278,1.0,0.06443027406930923,0.8694385439157486,,
35840,,,,,,0.7936627268791199,0.00805393885821104,0.001,279,1.0,0.07562796026468277,0.8599994778633118,4.0,-4.3116008
35840,0,-5.76170115,4.81,97817,280,,,,,,,,,
35968,0,-5.632482879999999,4.65,98023,281,0.6812119483947754,0.008592640981078148,0.001,280,1.0,0.06249331682920456,0.8456194996833801,,
36096,0,-5.731247119999999,4.72,98218,282,0.5178285300731659,0.006839176174253225,0.001,281,1.0,0.07172501087188721,0.8957060500979424,,
36224,0,-5.620457589999998,4.57,98423,283,0.6893931090831756,0.006211388856172562,0.001,282,1.0,0.08354455977678299,0.8603269010782242,,
36352,,,,,,0.619556474685669,0.007274413015693426,0.001,283,1.0,0.07969915866851807,0.8685837835073471,4.4,-4.6401688
36352,0,-5.62795253,4.63,98650,284,,,,,,,,,
36480,0,-5.59843604,4.64,98857,285,0.6873796164989472,0.007232518866658211,0.001,284,1.0,0.07913072407245636,0.8418576866388321,,
36608,0,-5.504020450000001,4.64,99050,286,0.6927416265010834,0.008022523485124111,0.001,285,1.0,0.08891335129737854,0.8490305244922638,,
36736,0,-5.55644592,4.8,99238,287,0.6269938588142395,0.00606565922498703,0.001,286,1.0,0.07704830169677734,0.8766407743096352,,
36864,,,,,,0.889004921913147,0.006962991319596767,0.001,287,1.0,0.08241923153400421,0.8485293388366699,3.8,-5.403891799999999
36864,0,-5.60290382,4.61,99474,288,,,,,,,,,
36992,0,-5.6676449700000004,4.68,99678,289,0.6401564478874207,0.006261077243834734,0.001,288,1.0,0.07176001369953156,0.8769378513097763,,
37120,0,-5.674880650000001,4.85,99877,290,0.5942770302295685,0.008798145689070225,0.001,289,1.0,0.09408876299858093,0.8969382420182228,,
37248,0,-5.753763220000001,4.74,100079,291,0.45517406463623045,0.008230188861489296,0.001,290,1.0,0.07992632687091827,0.8968162164092064,,
37376,,,,,,0.7366668283939362,0.007449967321008444,0.001,291,1.0,0.08434470742940903,0.87087681889534,6.0,-5.5353986
