train/adaptive_beta,train/value_loss,time/total_timesteps,train/n_updates,train/learning_rate,eval/mean_reward,train/entropy_loss,train/explained_variance,train/policy_loss,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed
0.475,1831.919921875,8192,63,0.0007,-181.4430342,-9.478930473327637,-6.866455078125e-05,-267.7267150878906,400.0,,,,,
0.475,2041.86083984375,8704,67,0.0007,-181.16308800000002,-9.538154602050781,-4.7326087951660156e-05,-330.5189514160156,400.0,,,,,
0.475,2883.154296875,9216,71,0.0007,-181.2612118,-9.406700134277344,-6.794929504394531e-05,-333.5799865722656,400.0,,,,,
0.475,1629.5086669921875,9728,75,0.0007,-183.5500958,-9.180488586425781,-4.5299530029296875e-05,-259.22698974609375,58.0,,,,,
0.45125,877.6611328125,10240,79,0.0007,-184.2154424,-8.648844718933105,-7.545948028564453e-05,-163.81317138671875,58.0,,,,,
0.45125,141.055419921875,10752,83,0.0007,-183.741515,-8.095961570739746,-0.00019073486328125,-16.433536529541016,58.0,,,,,
0.45125,108.30699920654297,11264,87,0.0007,-180.8189046,-6.498339653015137,-0.00016748905181884766,5.3313188552856445,100.0,,,,,
0.45125,115.39785766601562,11776,91,0.0007,-180.5477572,-6.237092971801758,9.709596633911133e-05,15.383523941040039,100.0,,,,,
0.45125,107.4338150024414,12288,95,0.0007,-180.65562459999998,-7.874591827392578,0.0002754330635070801,14.8248872756958,100.0,,,,,
0.45125,91.93855285644531,12800,99,0.0007,-181.16887400000002,-6.681573867797852,0.0005954504013061523,17.276592254638672,100.0,,,,,
0.45125,,12800,,,,,,,,-16.748908189999998,100,0,6.57,47100
0.45125,87.84428405761719,13312,103,0.0007,-180.89010560000003,-6.450290679931641,0.0011416077613830566,18.789348602294922,100.0,,,,,
0.45125,101.86910247802734,13824,107,0.0007,-181.3226778,-6.72658634185791,0.0013730525970458984,8.781426429748535,100.0,,,,,
0.45125,86.99215698242188,14336,111,0.0007,-180.68555740000002,-6.237249374389648,0.004418849945068359,11.55445671081543,100.0,,,,,
0.45125,57.533199310302734,14848,115,0.0007,-180.9932726,-6.296992301940918,0.03786182403564453,23.539154052734375,100.0,,,,,
0.42868749999999994,70.19110107421875,15360,119,0.0007,-180.98443759999998,-6.1590118408203125,0.06490862369537354,15.321405410766602,100.0,,,,,
0.42868749999999994,79.44477081298828,15872,123,0.0007,-180.947386,-6.560769557952881,0.13033610582351685,10.392570495605469,100.0,,,,,
0.42868749999999994,106.1200942993164,16384,127,0.0007,-181.0593288,-6.740843296051025,0.07214897871017456,-16.162525177001953,100.0,,,,,
0.42868749999999994,44.53657913208008,16896,131,0.0007,-180.69405279999998,-6.557961940765381,0.04320043325424194,-13.604232788085938,100.0,,,,,
0.42868749999999994,30.884366989135742,17408,135,0.0007,-180.6849224,-6.479215145111084,0.35279297828674316,10.919771194458008,100.0,,,,,
0.42868749999999994,28.358783721923828,17920,139,0.0007,-180.86535780000003,-7.027013778686523,0.22059136629104614,-4.887688636779785,100.0,,,,,
0.42868749999999994,21.294307708740234,18432,143,0.0007,-181.04775,-6.696447372436523,0.4246547222137451,10.991756439208984,100.0,,,,,
0.42868749999999994,48.13402557373047,18944,147,0.0007,-181.01761659999997,-6.587911605834961,0.34512048959732056,-5.4829254150390625,100.0,,,,,
0.42868749999999994,38.79120635986328,19456,151,0.0007,-181.01397,-6.446759223937988,0.32663196325302124,18.243288040161133,100.0,,,,,
0.42868749999999994,46.13767623901367,19968,155,0.0007,-181.38285879999998,-6.699261665344238,0.21166926622390747,-9.28235912322998,100.0,,,,,
0.40725312499999994,39.02742004394531,20480,159,0.0007,-180.3796974,-6.418433666229248,0.33426541090011597,-15.095947265625,100.0,,,,,
0.40725312499999994,58.12252426147461,20992,163,0.0007,-180.9755078,-6.642433166503906,0.2238423228263855,-13.431453704833984,100.0,,,,,
0.40725312499999994,11.708669662475586,21504,167,0.0007,-54.3901518,-6.437806129455566,0.5677550137042999,3.574829339981079,106.4,,,,,
0.40725312499999994,54.11089324951172,22016,171,0.0007,-28.448929,-7.079775810241699,0.28808170557022095,-8.88426399230957,68.6,,,,,
0.40725312499999994,30.81502914428711,22528,175,0.0007,-18.9346814,-7.18286657333374,0.29591137170791626,10.567792892456055,49.6,,,,,
0.40725312499999994,46.695892333984375,23040,179,0.0007,-180.6602144,-6.722630023956299,0.1967034935951233,-0.09946918487548828,80.0,,,,,
0.40725312499999994,14.016530990600586,23552,183,0.0007,-29.239519199999997,-6.943707466125488,0.5487875938415527,16.209983825683594,99.8,,,,,
0.40725312499999994,50.07982635498047,24064,187,0.0007,-13.007064199999999,-7.5636138916015625,0.1338721513748169,-5.266779899597168,54.6,,,,,
0.40725312499999994,34.268959045410156,24576,191,0.0007,-15.414529400000001,-6.8120856285095215,0.3454628586769104,-5.473811149597168,56.0,,,,,
0.38689046874999994,25.782665252685547,25088,195,0.0007,-34.562329999999996,-6.97537899017334,0.3540017604827881,-2.8596901893615723,94.2,,,,,
0.38689046874999994,22.67828369140625,25600,199,0.0007,-13.152641399999998,-7.087201118469238,0.3419903516769409,-2.9895615577697754,53.8,,,,,
