train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
0.475,5248,-27.41842396,41,0,12.88,15617,182.90869598388673,40,1.0,0.001,0.3159651756286621,-1.8477439880371094e-05,2.461221218109131,,
0.475,5376,-25.54927398,42,0,11.49,15821,242.93451843261718,41,1.0,0.001,0.20208249986171722,-3.0994415283203125e-06,0.6068501472473145,,
0.475,5504,-22.360575820000005,43,0,9.76,16030,312.8671478271484,42,1.0,0.001,0.21501682698726654,-2.7418136596679688e-06,0.5909525156021118,,
0.475,5632,,,,,,184.31015319824218,43,1.0,0.001,0.1685473620891571,7.748603820800781e-07,0.6205578446388245,-39.479145,107.4
0.475,5632,-19.42721762,44,0,8.28,16900,,,,,,,,,
0.475,5760,-18.803386279999998,45,0,8.51,17115,196.43556213378906,44,1.0,0.001,0.2671455144882202,9.953975677490234e-06,0.858340859413147,,
0.475,5888,-18.111804050000003,46,0,8.14,17307,184.29190216064453,45,1.0,0.001,0.17528274655342102,-1.621246337890625e-05,1.485497236251831,,
0.475,6016,-15.838985770000004,47,0,7.33,17502,181.45289764404296,46,1.0,0.001,0.20025357604026794,7.867813110351562e-06,0.6628548502922058,,
0.475,6144,,,,,,194.98768463134766,47,1.0,0.001,0.21918754279613495,-4.76837158203125e-06,0.40255215764045715,-18.075564399999998,83.8
0.475,6144,-13.85147172,48,0,6.77,18166,,,,,,,,,
0.475,6272,-13.5897919,49,0,7.23,18368,110.52987289428711,48,1.0,0.001,0.356388121843338,-1.0251998901367188e-05,0.6581689119338989,,
0.475,6400,-11.8314074,50,0,6.29,18543,164.68279418945312,49,1.0,0.001,0.2686987817287445,3.814697265625e-06,0.3865630030632019,,
0.475,6528,-10.454544959999998,51,0,6.2,18710,181.82162322998047,50,1.0,0.001,0.2253371626138687,4.827976226806641e-06,0.33080899715423584,,
0.475,6656,,,,,,174.56865692138672,51,1.0,0.001,0.35712194442749023,-2.9802322387695312e-06,0.4683346152305603,-6.189058,2.6
0.475,6656,-10.08779112,52,0,5.87,18905,,,,,,,,,
0.475,6784,-9.469753469999999,53,0,5.32,19068,182.78965911865234,52,1.0,0.001,0.2281152904033661,1.728534698486328e-05,0.1845628023147583,,
0.475,6912,-9.221271009999999,54,0,5.16,19252,183.28815765380858,53,1.0,0.001,0.37445753812789917,8.64267349243164e-06,0.7641011476516724,,
0.475,7040,-9.048378809999999,55,0,5.08,19440,152.98941345214843,54,1.0,0.001,0.3146086037158966,-4.76837158203125e-07,0.655108630657196,,
0.475,7168,,,,,,149.9467742919922,55,1.0,0.001,0.4622398018836975,2.866983413696289e-05,0.7468223571777344,-6.612351599999999,2.2
0.475,7168,-9.12556134,56,0,5.0,19665,,,,,,,,,
0.475,7296,-9.19895974,57,0,5.08,19875,126.21360397338867,56,1.0,0.001,0.33973467350006104,-8.940696716308594e-06,0.7577917575836182,,
0.475,7424,-8.83412313,58,0,4.45,20091,152.21944427490234,57,1.0,0.001,0.23834668099880219,6.306171417236328e-05,0.5136123299598694,,
0.475,7552,-9.108883339999998,59,0,4.69,20320,146.0125503540039,58,1.0,0.001,0.25737687945365906,6.151199340820312e-05,0.6903380751609802,,
0.475,7680,,,,,,111.88871307373047,59,1.0,0.001,0.3568495512008667,1.043081283569336e-05,0.8819721937179565,-5.8979202,2.0
0.475,7680,-9.15178602,60,0,4.53,20555,,,,,,,,,
0.475,7808,-8.9075694,61,0,4.42,20760,135.79334716796876,60,1.0,0.001,0.3394567370414734,7.516145706176758e-05,0.6633172631263733,,
0.475,7936,-8.57922773,62,0,4.41,20959,121.39426040649414,61,1.0,0.001,0.38393688201904297,6.091594696044922e-05,0.3943042457103729,,
0.475,8064,-8.58413923,63,0,4.3,21172,121.82911376953125,62,1.0,0.001,0.2751721143722534,0.00027257204055786133,0.9638538360595703,,
0.475,8192,,,,,,106.82009429931641,63,1.0,0.001,0.4080407917499542,0.0017343759536743164,0.7307753562927246,-10.4852022,17.8
0.475,8192,-8.77900957,64,0,4.47,21573,,,,,,,,,
0.475,8320,-9.528423140000001,65,0,4.62,21798,101.47596740722656,64,1.0,0.001,0.32709628343582153,0.0003923177719116211,0.5115567445755005,,
0.475,8448,-9.46966491,66,0,4.35,22037,88.33381118774415,65,1.0,0.001,0.3369870185852051,0.010365068912506104,0.4112376868724823,,
0.475,8576,-8.06374133,67,0,3.6,22261,74.08088836669921,66,1.0,0.001,0.3412977457046509,0.027889251708984375,0.595493733882904,,
0.475,8704,,,,,,68.90290298461915,67,1.0,0.001,0.20487341284751892,0.002995729446411133,0.3104480504989624,-4.872934,3.0
0.475,8704,-7.547552109999999,68,0,3.47,22524,,,,,,,,,
