time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
58,0,10352,7424,1350.12744140625,0.005444541,0.2,0.00625,-10.310219526290894,0.0003,570,2775.3737548828126,-1.0609626770019531e-05,-0.03325378652662039,-431.5234935106384,76.96808510638297,,
59,0,10452,7552,1446.7747802734375,0.00451345,0.2,0.00859375,-10.318929290771484,0.0003,580,3359.8337646484374,-9.655952453613281e-06,-0.024916311027482152,-431.4891686145834,77.04166666666667,,
,,,7680,1516.7347412109375,0.0057890876,0.2,0.00703125,-10.326950740814208,0.0003,590,2779.131701660156,-1.1920928955078125e-06,-0.03127886559814215,,,130.2,-339.30269200000004
60,0,10851,7680,,,,,,,,,,,-430.8934950816327,77.0,,
61,0,10944,7808,1367.6048583984375,0.0045872754,0.2,0.00390625,-10.3205961227417,0.0003,600,2781.44609375,-2.3365020751953125e-05,-0.03020249484106898,-430.37741831313133,77.03030303030303,,
62,0,11038,7936,1859.87353515625,0.006104169,0.2,0.0125,-10.313018846511842,0.0003,610,3895.3203125,-2.6226043701171875e-06,-0.030354753602296114,-430.48804189000003,77.18,,
63,0,11132,8064,1282.398681640625,0.007367308,0.2,0.01640625,-10.306858587265015,0.0003,620,2163.102020263672,1.5497207641601562e-06,-0.03806587941944599,-428.88720271,77.18,,
,,,8192,1591.565673828125,0.0057537938,0.2,0.0109375,-10.31148648262024,0.0003,630,3252.3200927734374,-5.364418029785156e-06,-0.02858421104028821,,,125.6,-258.8121724
64,0,11529,8192,,,,,,,,,,,-428.8025492700001,77.23,,
65,0,11624,8320,1615.36181640625,0.0040878607,0.2,0.0046875,-10.3157368183136,0.0003,640,3724.1779541015626,-8.106231689453125e-06,-0.023676925292238592,-430.2052708400001,77.43,,
66,0,11721,8448,1411.8839111328125,0.007554562,0.2,0.015625,-10.322359466552735,0.0003,650,2896.8757568359374,-2.4199485778808594e-05,-0.03682249709963799,-429.75457592000015,77.46,,
67,0,11814,8576,1423.3580322265625,0.0045882734,0.2,0.00703125,-10.319298362731933,0.0003,660,3434.1560302734374,-7.987022399902344e-06,-0.02580244289711118,-429.08722932000006,77.6,,
,,,8704,643.2064819335938,0.017573794,0.2,0.09921875,-10.316109895706177,0.0003,670,1218.7811157226563,-6.198883056640625e-06,-0.05621601017192006,,,134.4,-202.7464962
68,0,12215,8704,,,,,,,,,,,-429.08722932000006,77.6,,
69,0,12304,8832,1660.7166748046875,0.0045059007,0.2,0.0078125,-10.304539585113526,0.0003,680,3046.597546386719,-1.6689300537109375e-06,-0.025815702322870494,-428.34065864000013,77.63,,
70,0,12399,8960,1344.433349609375,0.0056371763,0.2,0.01015625,-10.307687854766845,0.0003,690,2842.9328735351564,6.556510925292969e-07,-0.02970619285479188,-427.74096807000006,77.78,,
71,0,12497,9088,1514.161865234375,0.005765073,0.2,0.0125,-10.308574676513672,0.0003,700,3407.462060546875,-1.430511474609375e-06,-0.03144681425765157,-428.05340639,77.91,,
,,,9216,1482.6434326171875,0.008428751,0.2,0.02890625,-10.31142225265503,0.0003,710,3345.6167236328124,-3.5762786865234375e-06,-0.030088893696665765,,,124.6,-373.6689106
72,0,12896,9216,,,,,,,,,,,-426.4703632099999,78.0,,
73,0,12990,9344,1023.0322875976562,0.014756478,0.2,0.078125,-10.319273710250854,0.0003,720,1989.1467529296874,2.086162567138672e-06,-0.04824738278985023,-426.64799358999994,77.95,,
74,0,13086,9472,1378.4864501953125,0.00758012,0.2,0.01640625,-10.317884969711304,0.0003,730,2957.9053344726562,-9.5367431640625e-07,-0.0314751286059618,-424.64732562000006,78.11,,
75,0,13184,9600,1306.0443115234375,0.00772624,0.2,0.0265625,-10.322716188430785,0.0003,740,2614.66552734375,-7.62939453125e-06,-0.040466094575822356,-424.62406873,78.15,,
,,,9728,1621.218505859375,0.007614448,0.2,0.01953125,-10.315093517303467,0.0003,750,3553.2822265625,-1.800060272216797e-05,-0.034913228871300814,,,100.2,-420.490653
76,0,13581,9728,,,,,,,,,,,-424.50026439999993,78.11,,
77,0,13680,9856,2195.696044921875,0.0043907533,0.2,0.0078125,-10.312397813796997,0.0003,760,4553.863110351563,-3.933906555175781e-06,-0.02549827522598207,-424.19502246999997,77.94,,
78,0,13781,9984,1418.921142578125,0.011353476,0.2,0.04375,-10.31954493522644,0.0003,770,3113.301806640625,-9.655952453613281e-06,-0.040359703451395036,-424.8460846400001,77.86,,
79,0,13876,10112,2362.162841796875,0.004638933,0.2,0.00625,-10.315989685058593,0.0003,780,4499.181823730469,-3.2186508178710938e-06,-0.02655139472335577,-424.96085515,77.76,,
,,,10240,1475.3592529296875,0.010387514,0.2,0.03984375,-10.31978211402893,0.0003,790,2915.730419921875,-2.384185791015625e-07,-0.03741615936160088,,,123.6,-495.26160200000004
80,0,14270,10240,,,,,,,,,,,-426.49186877,77.76,,
81,0,14365,10368,1263.1661376953125,0.010627907,0.2,0.0421875,-10.324346542358398,0.0003,800,2568.2081787109373,-5.960464477539062e-07,-0.043087977543473245,-427.0372085799999,77.71,,
82,0,14457,10496,1518.561279296875,0.006307762,0.2,0.0109375,-10.325976276397705,0.0003,810,3492.48916015625,-1.1920928955078125e-07,-0.030684613110497593,-426.7647708099999,77.84,,
83,0,14557,10624,1335.678955078125,0.009373222,0.2,0.02265625,-10.329783630371093,0.0003,820,2698.9884399414063,-1.0132789611816406e-05,-0.03881153790280223,-426.89677969999997,77.82,,
,,,10752,2222.10595703125,0.009220221,0.2,0.0359375,-10.323335552215577,0.0003,830,4096.368310546875,-9.5367431640625e-07,-0.03519536955282092,,,200.0,-389.3085758
84,0,14981,10752,,,,,,,,,,,-426.72996207000006,77.75,,
85,0,15081,10880,1798.3460693359375,0.0054284562,0.2,0.0125,-10.315964889526366,0.0003,840,3331.7983276367186,-3.039836883544922e-05,-0.03297910336405039,-427.73559380000006,77.84,,
86,0,15174,11008,1697.8892822265625,0.0055996454,0.2,0.0046875,-10.315130805969238,0.0003,850,3647.0031005859373,-6.4373016357421875e-06,-0.03163764225319028,-428.29554066000003,77.68,,
87,0,15276,11136,1189.2664794921875,0.0067890757,0.2,0.0125,-10.318290662765502,0.0003,860,2289.242529296875,2.1457672119140625e-06,-0.03619231712073088,-428.01991769000006,77.57,,
,,,11264,2027.8162841796875,0.004807515,0.2,0.00625,-10.326410055160522,0.0003,870,4025.894921875,-2.6226043701171875e-06,-0.02546832226216793,,,163.4,-419.74033040000006
88,0,15689,11264,,,,,,,,,,,-427.84020918000004,77.6,,
89,0,15792,11392,1508.3546142578125,0.0076633156,0.2,0.02734375,-10.332067394256592,0.0003,880,3115.9600341796877,2.384185791015625e-07,-0.03255906724371016,-428.78939457,77.55,,
90,0,15892,11520,1994.9521484375,0.0058115623,0.2,0.01171875,-10.328403186798095,0.0003,890,4257.04560546875,-2.5033950805664062e-06,-0.028170040668919684,-428.5313570299999,77.55,,
91,0,15984,11648,1589.21923828125,0.0060758,0.2,0.01484375,-10.319766807556153,0.0003,900,3233.33681640625,-5.364418029785156e-06,-0.031742826011031865,-428.35313045,77.55,,
,,,11776,1795.6341552734375,0.0043859878,0.2,0.003125,-10.311304903030395,0.0003,910,3703.529650878906,-3.933906555175781e-06,-0.027649805042892696,,,185.2,-305.5816836
92,0,16405,11776,,,,,,,,,,,-427.8025829399999,77.67,,
93,0,16503,11904,2105.744873046875,0.0027122758,0.2,0.0,-10.319649362564087,0.0003,920,4358.34912109375,-2.384185791015625e-07,-0.020377227384597064,-429.03020449,77.64,,
94,0,16596,12032,1615.4752197265625,0.0058989427,0.2,0.01015625,-10.322650480270386,0.0003,930,3227.6655029296876,-3.337860107421875e-06,-0.034659022092819215,-429.16466478,77.66,,
95,0,16693,12160,1616.289306640625,0.010853013,0.2,0.04921875,-10.315469312667847,0.0003,940,3039.3344848632814,-2.86102294921875e-06,-0.040588424727320674,-429.95832605000004,77.77,,
,,,12288,1170.5333251953125,0.008551141,0.2,0.0328125,-10.32001748085022,0.0003,950,2286.952294921875,1.9073486328125e-06,-0.03496473859995604,,,100.0,-333.4622108
96,0,17091,12288,,,,,,,,,,,-429.82136631000003,77.72,,
97,0,17182,12416,1978.138916015625,0.0057911216,0.2,0.01484375,-10.328309249877929,0.0003,960,3901.704052734375,-2.9802322387695312e-06,-0.02584553628694266,-429.82136631000003,77.72,,
98,0,17272,12544,1838.66552734375,0.0053791353,0.2,0.009375,-10.32866997718811,0.0003,970,3714.1678100585937,5.960464477539062e-07,-0.030804627062752842,-429.53424534000004,77.95,,
99,0,17367,12672,1003.7970581054688,0.010917443,0.2,0.03828125,-10.322980880737305,0.0003,980,2013.3319030761718,-5.125999450683594e-06,-0.04343201913870871,-429.11500542000016,77.89,,
,,,12800,2116.45556640625,0.004690575,0.2,0.0078125,-10.319873476028443,0.0003,990,4283.378833007812,-5.364418029785156e-06,-0.02998885503038764,,,97.8,-507.7360324
100,0,17757,12800,,,,,,,,,,,-429.63829813000007,77.8,,
101,0,17861,12928,978.8088989257812,0.007196018,0.2,0.0140625,-10.326441860198974,0.0003,1000,2298.1495727539063,-1.1920928955078125e-06,-0.03255764655768871,-430.22285227,78.01,,
102,0,17957,13056,2171.72412109375,0.00855313,0.2,0.0265625,-10.323546075820923,0.0003,1010,3797.5332153320314,-3.6954879760742188e-06,-0.03535896595567465,-430.54909723,78.02,,
103,0,18057,13184,1477.5244140625,0.009878924,0.2,0.04765625,-10.317563915252686,0.0003,1020,2958.1824951171875,-1.0728836059570312e-06,-0.03923643436282873,-430.41988762,77.87,,
,,,13312,1947.36767578125,0.008581132,0.2,0.0296875,-10.31524305343628,0.0003,1030,3901.0335693359375,-4.172325134277344e-06,-0.038359009101986884,,,128.2,-323.5515906
104,0,18452,13312,,,,,,,,,,,-429.88772363000004,77.86,,
105,0,18551,13440,2109.341796875,0.006632095,0.2,0.01328125,-10.312387847900391,0.0003,1040,4044.7597045898438,-1.3113021850585938e-06,-0.032356297597289085,-429.74206501000003,77.79,,
106,0,18644,13568,945.1151733398438,0.013576223,0.2,0.06796875,-10.312887716293336,0.0003,1050,1695.798974609375,-1.4901161193847656e-05,-0.044069734308868645,-429.31476872999997,77.86,,
107,0,18735,13696,1416.3275146484375,0.0059539103,0.2,0.009375,-10.319149923324584,0.0003,1060,3277.810827636719,-1.6689300537109375e-06,-0.029489444848150016,-428.78292259,77.76,,
,,,13824,1237.8348388671875,0.011989827,0.2,0.05390625,-10.316193389892579,0.0003,1070,2470.9904052734373,1.9073486328125e-06,-0.042708617728203536,,,220.2,-304.9813464
108,0,19166,13824,,,,,,,,,,,-428.50755993,77.73,,
109,0,19271,13952,1238.30615234375,0.007664347,0.2,0.025,-10.319464063644409,0.0003,1080,2592.44736328125,-1.5497207641601562e-06,-0.034860789962112906,-428.50755993,77.73,,
110,0,19371,14080,1761.6922607421875,0.0045823907,0.2,0.00390625,-10.320556259155273,0.0003,1090,3703.2627563476562,-3.337860107421875e-06,-0.028396320622414352,-425.97678939,77.48,,
111,0,19464,14208,1501.1685791015625,0.009160178,0.2,0.02734375,-10.312691068649292,0.0003,1100,3284.5395263671876,-2.7418136596679688e-06,-0.04162718048319221,-425.5697316300001,77.47,,
,,,14336,1574.386474609375,0.008929186,0.2,0.02734375,-10.310882234573365,0.0003,1110,3404.1972778320314,-1.7881393432617188e-06,-0.040277963317930696,,,281.6,-222.6345846
112,0,19915,14336,,,,,,,,,,,-426.14784621,77.37,,
113,0,20003,14464,1522.6318359375,0.011061596,0.2,0.04296875,-10.309813451766967,0.0003,1120,2756.8601318359374,-8.344650268554688e-07,-0.04027479481883347,-426.14784621,77.37,,
114,0,20100,14592,1773.8345947265625,0.0048003024,0.2,0.00859375,-10.308135414123536,0.0003,1130,3528.610729980469,-1.0728836059570312e-06,-0.027497573383152486,-426.4086715699999,77.39,,
115,0,20192,14720,1668.2159423828125,0.0052200127,0.2,0.0109375,-10.306588554382325,0.0003,1140,3239.4551635742187,-1.537799835205078e-05,-0.0303555766120553,-426.30963616,77.49,,
,,,14848,1817.8475341796875,0.0061634965,0.2,0.0125,-10.308812522888184,0.0003,1150,3357.186730957031,-2.1457672119140625e-06,-0.031561240740120414,,,264.8,-216.50947259999998
116,0,20647,14848,,,,,,,,,,,-427.13825558999997,77.25,,
117,0,20733,14976,1355.646484375,0.0073392834,0.2,0.0140625,-10.306801176071167,0.0003,1160,3202.959094238281,4.172325134277344e-07,-0.03303078319877386,-426.79435979000004,77.27,,
118,0,20824,15104,1334.790771484375,0.010069482,0.2,0.03046875,-10.30859179496765,0.0003,1170,3065.0562255859377,-3.2186508178710938e-06,-0.03614676566794515,-428.10733079000005,77.29,,
119,0,20925,15232,1616.065185546875,0.00644954,0.2,0.0125,-10.312121725082397,0.0003,1180,3389.45732421875,-9.5367431640625e-07,-0.03358661709353328,-428.82863362000006,77.27,,
,,,15360,1626.5718994140625,0.009759612,0.2,0.03046875,-10.313312005996703,0.0003,1190,2832.3212280273438,-7.152557373046875e-07,-0.04162851208820939,,,140.8,-278.5999368
120,0,21327,15360,,,,,,,,,,,-429.40726574,77.28,,
121,0,21422,15488,1362.3177490234375,0.004763737,0.2,0.0046875,-10.306309080123901,0.0003,1200,3184.4818359375,-1.0728836059570312e-06,-0.027579004131257533,-429.89500207,77.27,,
122,0,21517,15616,1220.852294921875,0.010836356,0.2,0.04296875,-10.310167407989502,0.0003,1210,2532.88583984375,-2.0265579223632812e-06,-0.04092110618948937,-429.37238625000003,77.25,,
