time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_ep_length,eval/mean_reward
50560,0,-185.17457472,398.91,119376,395,399.6760559082031,0.0,3940,827.5895721435547,-0.00015714438632130623,0.0003,0.2,-0.13379593528807163,3.3445656e-05,-1.1920928955078125e-07,,
50688,,,,,,12.434572219848633,0.0,3950,26.48195629119873,-0.00018788604065775872,0.0003,0.2,-0.12112580463290215,1.4041085e-05,0.0,400.0,-181.716568
50688,0,-184.47162338,398.96,120391,396,,,,,,,,,,,,
50816,0,-183.91425693000005,399.17,120452,397,171.0275115966797,0.0,3960,342.0465504646301,-4.603089764714241e-05,0.0003,0.2,-0.13436389975249768,0.00011051167,0.0,,
50944,0,-183.91425693000005,399.17,120513,398,95.74678039550781,0.0,3970,343.2357696533203,-0.00024600112810730935,0.0003,0.2,-0.12724338695406914,0.000179586,0.0,,
51072,0,-183.91425693000005,399.17,120574,399,11.619293212890625,0.00234375,3980,24.948196601867675,-0.0007791085168719292,0.0003,0.2,-0.10806553289294243,0.00035717944,1.1920928955078125e-07,,
51200,,,,,,10.621417045593262,0.0,3990,24.562264823913573,-0.000190145755186677,0.0003,0.2,-0.10610835440456867,4.521245e-05,0.0,400.0,-181.520343
51200,0,-183.91425693000005,399.17,121589,400,,,,,,,,,,,,
51328,0,-183.91425693000005,399.17,121650,401,12.492323875427246,0.0109375,4000,24.51549196243286,-0.003404192393645644,0.0003,0.2,-0.10751870796084403,0.0021257573,0.0,,
51456,0,-183.91425693000005,399.17,121712,402,10.876200675964355,0.0,4010,24.51222677230835,4.502944648265839e-08,0.0003,0.2,-0.10802812613546849,0.0,0.0,,
51584,0,-183.91425693000005,399.17,121773,403,10.592500686645508,0.0046875,4020,24.509314823150635,-0.0022296810988336802,0.0003,0.2,-0.109644241258502,0.0005634413,0.0,,
51712,,,,,,11.488426208496094,0.0,4030,24.508670234680174,3.3760443329811096e-08,0.0003,0.2,-0.1115745548158884,2.142042e-08,0.0,400.0,-181.7930758
51712,0,-183.55978092,399.2,122786,404,,,,,,,,,,,,
51840,0,-183.55978092,399.2,122848,405,293.45257568359375,0.0,4040,568.8718444824219,-1.7331168055534363e-05,0.0003,0.2,-0.126189424097538,1.1678785e-06,0.0,,
51968,0,-183.55978092,399.2,122909,406,11.703435897827148,0.00546875,4050,25.88550796508789,-0.002093712007626891,0.0003,0.2,-0.11282417848706246,0.0016813101,0.0,,
52096,0,-183.27504857,399.25,122970,407,10.560393333435059,0.0,4060,24.671303844451906,-4.1946396231651305e-05,0.0003,0.2,-0.11088989526033402,5.2824616e-06,-1.1920928955078125e-07,,
52224,,,,,,505.5589294433594,0.00234375,4070,613.7922225952149,-0.0004081930033862591,0.0003,0.2,-0.12175617329776287,0.0003112452,0.0,400.0,-181.5903952
52224,0,-183.04211837000003,399.36,123980,408,,,,,,,,,,,,
52352,0,-182.82496154,399.35,124041,409,452.2643737792969,0.00625,4080,841.9866790771484,-0.0023846544325351717,0.0003,0.2,-0.11947648823261262,0.0012454875,0.0,,
52480,0,-182.82496154,399.35,124101,410,558.63037109375,0.0,4090,826.1100036621094,-6.847195327281952e-05,0.0003,0.2,-0.12534795850515365,5.2675605e-06,0.0,,
52608,0,-182.82496154,399.35,124162,411,12.96597957611084,0.0,4100,26.434736347198488,3.054738044738769e-08,0.0003,0.2,-0.10624005757272244,3.306195e-08,1.1920928955078125e-07,,
52736,,,,,,12.04227066040039,0.0,4110,24.724747371673583,-0.0002228958997875452,0.0003,0.2,-0.10578075163066387,5.487213e-05,0.0,400.0,-181.78710199999998
52736,0,-182.82496154,399.35,125175,412,,,,,,,,,,,,
52864,0,-182.82496154,399.35,125236,413,11.23393726348877,0.00703125,4120,24.535566425323488,-0.002210073359310627,0.0003,0.2,-0.1034910600632429,0.0012646043,1.1920928955078125e-07,,
52992,0,-182.82496154,399.35,125297,414,11.746086120605469,0.0,4130,24.513514709472656,2.7567148208618165e-08,0.0003,0.2,-0.1012096181511879,0.0,1.1920928955078125e-07,,
53120,0,-182.82496154,399.35,125358,415,12.019976615905762,0.00546875,4140,24.50914125442505,-0.002534469310194254,0.0003,0.2,-0.10219064615666866,0.0020892648,1.1920928955078125e-07,,
53248,,,,,,12.159122467041016,0.00390625,4150,24.51027555465698,-0.0005472450982779264,0.0003,0.2,-0.10419598743319511,0.00077718636,0.0,400.0,-182.04519599999998
53248,0,-182.69629805999998,399.36,126371,416,,,,,,,,,,,,
53376,0,-182.69629805999998,399.36,126432,417,390.57666015625,0.0015625,4160,894.3952545166015,-0.0004972045309841633,0.0003,0.2,-0.1263823315501213,0.00031651324,0.0,,
53504,0,-182.69629805999998,399.36,126493,418,11.317802429199219,0.0,4170,25.923805713653564,4.097819328308106e-09,0.0003,0.2,-0.10472905077040195,0.0,5.960464477539063e-08,,
53632,0,-182.57681362000002,399.36,126555,419,12.439377784729004,0.00234375,4180,24.694757652282714,-0.0012579373084008693,0.0003,0.2,-0.10479718856513501,0.0003715125,1.1920928955078125e-07,,
53760,,,,,,508.5718688964844,0.0,4190,906.3832061767578,-0.0005736951250582933,0.0003,0.2,-0.12574555017054082,0.0001423289,0.0,400.0,-181.7641252
53760,0,-182.57681362000002,399.36,127574,420,,,,,,,,,,,,
53888,0,-182.53182472999998,399.39,127635,421,13.29361343383789,0.0,4200,26.234801197052,3.026798367500305e-08,0.0003,0.2,-0.10011818967759609,1.21071935e-08,0.0,,
54016,0,-182.43980120999996,399.41,127696,422,113.81041717529297,0.00078125,4210,372.06082305908205,-0.0002545710653066635,0.0003,0.2,-0.11888854615390301,0.00024196785,-1.1920928955078125e-07,,
54144,0,-182.43980120999996,399.41,127757,423,11.940532684326172,0.00390625,4220,300.96494617462156,-0.00047603212296962736,0.0003,0.2,-0.11126659475266934,0.00066160364,0.0,,
54272,,,,,,10.856553077697754,0.0,4230,24.940763568878175,-4.975032061338425e-05,0.0003,0.2,-0.08870099224150181,2.951175e-05,0.0,400.0,-181.95315140000002
54272,0,-182.43980120999996,399.41,128770,424,,,,,,,,,,,,
54400,0,-182.43980120999996,399.41,128830,425,11.103832244873047,0.0,4240,24.55894832611084,-2.8405338525772093e-09,0.0003,0.2,-0.08932795338332652,0.0,0.0,,
54528,0,-182.43980120999996,399.41,128891,426,10.568901062011719,0.0,4250,24.51684913635254,-4.48285136371851e-05,0.0003,0.2,-0.08921897113323211,6.6012144e-06,0.0,,
54656,0,-182.43980120999996,399.41,128952,427,12.020225524902344,0.0,4260,24.51089553833008,-2.3096799850463868e-08,0.0003,0.2,-0.08823714293539524,0.0,0.0,,
54784,,,,,,10.888386726379395,0.0015625,4270,24.508172607421876,-0.0007476125378161669,0.0003,0.2,-0.08856441006064415,0.00025854958,0.0,400.0,-181.45960499999998
54784,0,-182.43980120999996,399.41,129960,428,,,,,,,,,,,,
54912,0,-182.34892873999996,399.41,130021,429,11.707940101623535,0.00859375,4280,24.511894702911377,-0.002278540935367346,0.0003,0.2,-0.09021266847848892,0.0015676725,1.1920928955078125e-07,,
55040,0,-182.34892873999996,399.41,130082,430,473.9225158691406,0.0,4290,620.1742657661438,-2.3101549595594405e-05,0.0003,0.2,-0.10974456556141376,1.414679e-06,0.0,,
55168,0,-182.34892873999996,399.41,130143,431,13.052878379821777,0.00390625,4300,25.719865322113037,-0.0010460871737450362,0.0003,0.2,-0.09476340413093567,0.0007318021,0.0,,
55296,,,,,,12.80986213684082,0.01015625,4310,24.65358695983887,-0.0036642861552536486,0.0003,0.2,-0.0972045611590147,0.0029177777,0.0,400.0,-181.63453439999998
55296,0,-182.32252501999994,399.43,131104,432,,,,,,,,,,,,
55424,0,-182.29236885000003,399.48,131160,433,336.2457275390625,0.00703125,4320,670.2556522369384,-0.0007656963542103767,0.0003,0.2,-0.12573300674557686,0.0014051781,0.0,,
