time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/kl_divergence_loss,train/policy_objective,train/is_line_search_success,train/learning_rate,train/value_loss,train/n_updates,train/explained_variance,eval/mean_ep_length,eval/mean_reward
,,,,,10240,0.2878742218017578,0.08253668248653412,1.0,0.001,9.605962371826172,79,0.0005040168762207031,2.2,-6.2143648
26926,-6.890821229999999,0,80,3.08,10240,,,,,,,,,
27349,-7.104792000000001,0,81,3.64,10368,0.3231305480003357,0.14538589119911194,1.0,0.001,20.409845733642577,80,0.001166701316833496,,
27776,-6.406601899999999,0,82,2.24,10496,0.14294302463531494,0.13756519556045532,1.0,0.001,11.69743013381958,81,0.01665884256362915,,
28201,-6.4612776599999995,0,83,2.59,10624,0.13525402545928955,0.1253664344549179,1.0,0.001,10.855572509765626,82,0.03633850812911987,,
,,,,,10752,0.21036207675933838,0.09821222722530365,1.0,0.001,9.56873836517334,83,0.04251199960708618,2.0,-5.960181400000001
28660,-6.587419059999999,0,84,2.85,10752,,,,,,,,,
29075,-7.636717559999999,0,85,3.39,10880,0.30647987127304077,0.19155475497245789,1.0,0.001,8.318031787872314,84,0.0539851188659668,,
29487,-7.645039409999999,0,86,3.04,11008,0.34259483218193054,0.24932274222373962,1.0,0.001,29.63173484802246,85,0.02808690071105957,,
29889,-7.644124519999999,0,87,3.75,11136,0.4147755801677704,0.06108938157558441,1.0,0.001,9.452572441101074,86,0.06129121780395508,,
,,,,,11264,0.09886515885591507,0.10775148868560791,1.0,0.001,6.301796293258667,87,0.05280804634094238,10.6,-9.9753788
30461,-7.01514171,0,88,4.16,11264,,,,,,,,,
30859,-6.940598320000001,0,89,4.68,11392,0.3568500280380249,0.0635402500629425,1.0,0.001,7.438914060592651,88,0.08114629983901978,,
31256,-7.0375232599999995,0,90,5.26,11520,0.2503240406513214,0.3858393430709839,1.0,0.001,6.521894741058349,89,0.07514220476150513,,
31644,-6.929613359999999,0,91,4.06,11648,0.36032480001449585,0.08407473564147949,1.0,0.001,8.59000358581543,90,0.11739683151245117,,
,,,,,11776,0.2732767164707184,0.19356869161128998,1.0,0.001,9.692889499664307,91,0.18014007806777954,10.6,-6.235284200000001
32189,-6.546041209999999,0,92,3.04,11776,,,,,,,,,
32573,-6.538461939999999,0,93,2.58,11904,0.27249687910079956,0.1729152351617813,1.0,0.001,8.440070533752442,92,0.20252281427383423,,
32949,-6.539482909999999,0,94,2.9,12032,0.3654041886329651,0.4712543785572052,1.0,0.001,6.962488412857056,93,0.24183803796768188,,
33309,-6.72904291,0,95,2.92,12160,0.49576789140701294,0.2950814664363861,1.0,0.001,5.628663110733032,94,0.31734371185302734,,
,,,,,12288,0.19762974977493286,0.2316122055053711,1.0,0.001,27.105977630615236,95,0.09269696474075317,2.6,-5.1273694
33714,-6.738802340000001,0,96,4.0,12288,,,,,,,,,
34118,-6.707668570000001,0,97,4.57,12416,0.2892075777053833,0.1614779680967331,1.0,0.001,5.667787837982178,96,0.1264643669128418,,
34487,-6.699852059999999,0,98,4.68,12544,0.2013227939605713,0.06562208384275436,1.0,0.001,7.37197322845459,97,0.13179153203964233,,
34855,-6.58832514,0,99,4.36,12672,0.3001905083656311,0.19461800158023834,1.0,0.001,6.601796722412109,98,0.1422024369239807,,
,,,,,12800,0.3309060335159302,0.11943357437849045,1.0,0.001,6.579407644271851,99,0.22854995727539062,3.0,-8.088382
35269,-6.416514650000002,0,100,3.37,12800,,,,,,,,,
35650,-6.562179660000002,0,101,3.14,12928,0.1450558751821518,0.01936536654829979,1.0,0.001,6.7336955070495605,100,0.3019460439682007,,
36029,-6.55450083,0,102,2.98,13056,0.23751360177993774,0.10474443435668945,1.0,0.001,7.13291563987732,101,0.2865016460418701,,
36412,-6.617741420000001,0,103,3.36,13184,0.4915574789047241,0.1221654862165451,1.0,0.001,6.714695596694947,102,0.1874779462814331,,
,,,,,13312,0.1280754953622818,0.0012566503137350082,1.0,0.001,6.966927480697632,103,0.311851441860199,2.2,-5.3780818
36811,-6.629738509999999,0,104,3.07,13312,,,,,,,,,
37181,-6.422178849999999,0,105,2.62,13440,0.06957010924816132,0.07986228168010712,1.0,0.001,6.3213598251342775,104,0.37690800428390503,,
37537,-6.19242806,0,106,2.78,13568,0.1282089650630951,0.025817513465881348,1.0,0.001,5.279381847381591,105,0.33434271812438965,,
37895,-5.9401895699999985,0,107,2.74,13696,0.20375990867614746,0.07433739304542542,1.0,0.001,4.974711847305298,106,0.4398784041404724,,
,,,,,13824,0.3506729006767273,0.049593813717365265,1.0,0.001,4.988405561447143,107,0.20208662748336792,2.4,-6.1374448
38247,-6.36641523,0,108,4.12,13824,,,,,,,,,
38575,-6.317449519999999,0,109,3.95,13952,0.32451993227005005,0.09684281051158905,1.0,0.001,3.8025182723999023,108,0.2991383671760559,,
38890,-6.31251261,0,110,4.02,14080,0.28391528129577637,0.12405545264482498,1.0,0.001,5.059656476974487,109,0.43660420179367065,,
39218,-6.293154960000002,0,111,3.7,14208,0.28303468227386475,0.15931957960128784,1.0,0.001,3.249833679199219,110,0.2983786463737488,,
,,,,,14336,0.3210550844669342,0.02025647833943367,1.0,0.001,4.35911226272583,111,0.3314938545227051,3.0,-6.5690832000000015
39569,-6.387976569999999,0,112,4.36,14336,,,,,,,,,
39878,-6.355097509999999,0,113,3.54,14464,0.3127024173736572,0.10275782644748688,1.0,0.001,5.10560245513916,112,0.3895239233970642,,
40198,-6.315664559999999,0,114,3.08,14592,0.4581261873245239,0.1492699682712555,1.0,0.001,4.434432029724121,113,0.5107476711273193,,
40516,-6.272505160000001,0,115,2.82,14720,0.3691864311695099,0.19349420070648193,1.0,0.001,3.696599555015564,114,0.4525046944618225,,
,,,,,14848,0.3377586901187897,0.08005993068218231,1.0,0.001,4.095174646377563,115,0.4581265449523926,2.6,-6.338375600000001
40857,-6.40452124,0,116,3.41,14848,,,,,,,,,
41166,-6.569867009999999,0,117,3.67,14976,0.13820824027061462,0.11010770499706268,1.0,0.001,4.502502727508545,116,0.5329331755638123,,
41483,-6.59561857,0,118,3.14,15104,0.2469545602798462,0.036408089101314545,1.0,0.001,3.2708411693572996,117,0.5350776314735413,,
41797,-6.336480169999998,0,119,3.03,15232,0.1970081776380539,0.056664496660232544,1.0,0.001,5.4318641185760494,118,0.37641072273254395,,
,,,,,15360,0.10598181188106537,0.11644277721643448,1.0,0.001,9.157587337493897,119,-0.12386524677276611,13.2,-7.086087999999999
42289,-6.94827449,0,120,5.01,15360,,,,,,,,,
42608,-7.22237625,0,121,5.56,15488,0.19026657938957214,0.35689276456832886,1.0,0.001,8.534202671051025,120,0.07625389099121094,,
42925,-7.167792289999999,0,122,5.59,15616,0.4104476571083069,0.1467820256948471,1.0,0.001,10.947339916229248,121,0.14381837844848633,,
43236,-7.487102189999999,0,123,4.57,15744,0.33528196811676025,0.000135151669383049,1.0,0.001,11.626937866210938,122,0.1423630714416504,,
,,,,,15872,0.15773633122444153,0.21480098366737366,1.0,0.001,8.500503635406494,123,0.2745768427848816,15.2,-13.2302036
43714,-7.06495557,0,124,3.79,15872,,,,,,,,,
44025,-7.1111107,0,125,4.02,16000,0.08058290183544159,0.05460067093372345,1.0,0.001,6.635630321502686,124,0.29261457920074463,,
44333,-7.19567453,0,126,4.1,16128,0.40825381875038147,0.04650840908288956,1.0,0.001,8.697383499145507,125,0.215362548828125,,
